128 4 4 0.0 0.0 1.72 0.1863572 0.0746667 1.4569357 -10.5566099 31.8699087 0.9075692 0.0009095 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 6 6 0.0 0.0 3.25 0.0920234 0.0606255 1.3132654 1.8707646 10.6526222 0.1223274 0.0303815 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 6 6 0.0 0.0 4.6 0.0481096 0.0607105 1.3359593 1.76282 4.2858139 0.0352598 0.0195182 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 6 6 0.0 0.0 5.79 0.0259172 0.0631306 1.3984646 1.082379 1.7166067 0.0179678 0.0121846 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 6 6 0.0 0.0 6.85 0.0173253 0.0641075 1.413059 1.0219715 0.9304755 0.0100966 0.0096681 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 6 6 0.0 0.0 7.88 0.0124029 0.0655787 1.3609734 0.8273167 0.4720313 0.0068761 0.007861 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 7 7 0.0 0.0 8.91 0.0087295 0.0655697 1.3951088 0.6950766 0.2760875 0.004874 0.0064222 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 7 7 0.0 0.0 10.09 0.0072002 0.0611948 1.3218059 0.5995561 0.2120352 0.0043606 0.006172 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 7 7 0.0 0.0 11.15 0.0058026 0.0700644 1.2800652 0.5607048 0.1580344 0.0028112 0.0048749 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 7 7 0.0 0.0 12.09 0.0059933 0.0652905 1.3170532 0.4962026 0.1524326 0.0029926 0.0046723 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 8 8 0.0 0.0 12.95 0.004925 0.0622682 1.2504111 0.4944503 0.193026 0.0027932 0.0045891 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
