128 0 0 0.0 0.0 37.38 0.0122407 1.3482862 0.3460898 -1.3697248 1.0462964 0.1074001 0.1189723 0.0 30.1712449 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 36.14 0.0139943 1.3567491 0.4179655 -0.1932289 0.3883102 0.0277544 0.0316486 0.0 45.0590444 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
384 0 0 0.0 0.0 38.64 0.0096143 1.3368748 0.4584484 0.1596756 0.1924534 0.0080282 0.0065005 0.0 48.2699093 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 37.73 0.008416 1.3249878 0.5652814 0.2334345 0.114114 0.0053125 0.0023891 0.0 55.248351 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
640 1 1 0.0 0.0 39.9 0.0073884 1.3358074 0.5536097 0.3785354 0.1936722 0.00425 0.0022992 0.0 53.5729287 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
768 1 1 0.0 0.0 41.31 0.0070177 1.3396564 0.4967303 0.094292 0.0587892 0.0040235 0.0021674 0.0 52.5768996 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
896 1 1 0.0 0.0 45.72 0.0056242 1.3133313 0.4726733 0.0862771 0.048306 0.0033859 0.0025154 0.0 60.02853 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 50.0 0.0062075 1.2962336 0.4689929 0.0718665 0.0304262 0.0033242 0.0030667 0.0 66.5742457 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 52.78 0.0057462 1.2799505 0.490207 0.0873827 0.0421049 0.0035671 0.0032019 0.0 71.477453 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
1280 2 2 25.0 0.1 52.66 0.0056863 1.3076419 0.5456892 0.0882586 0.0323477 0.002733 0.0015617 0.0 61.1395834 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 25.0} 
1408 2 2 25.0 0.1 50.34 0.0056019 1.2815825 0.5243823 0.0362027 0.0228089 0.0029885 0.0015903 0.0 67.7634295 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 25.0} 
1536 2 2 25.0 0.1 51.22 0.0056322 1.2723295 0.4713513 0.0335253 0.0205288 0.0026824 0.0014497 0.0 72.2671385 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 25.0} 
