128 0 0 0.0 0.0 28.62 0.0561608 0.2236711 5.80559 -3.7577382 1.4059834 0.2530028 0.0081063 0.0 58.0970582 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 29.79 0.0537869 0.1514081 2.4728055 -0.1855864 0.2333224 0.0455663 0.0185866 0.0 79.5302226 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 30.05 0.0363856 0.131488 1.6151367 0.1587729 0.1115113 0.025513 0.0073496 0.0 84.2774544 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 29.8 0.0319187 0.1227867 1.3251241 0.2176553 0.1141118 0.020572 0.0186943 0.0 86.1171194 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 30.04 0.0374347 0.1227186 1.1935953 0.2282157 0.0896998 0.01831 0.0073299 0.0 85.5601636 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 30.04 0.0311755 0.1114836 1.2310469 0.1261909 0.0919446 0.0229342 0.0049661 0.0 88.4966338 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 30.64 0.029445 0.1066493 1.2345992 0.2368375 0.0729995 0.0152485 0.00425 0.0 89.3785927 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 35.95 0.0232963 0.1044117 1.3456951 0.1694874 0.0834935 0.0175028 0.0048904 0.0 89.4271863 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 37.97 0.0212445 0.0982418 1.4909738 0.2307495 0.0755128 0.0118326 0.0046237 0.0 90.5688335 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 37.33 0.0161436 0.0926431 1.5034541 0.2520535 0.0794124 0.0087853 0.0029786 0.0 91.507119 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 38.0 0.0141231 0.0855724 1.6119366 0.1951393 0.0432966 0.0079303 0.0042555 0.0 92.7028116 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 38.47 0.0122069 0.0833962 1.5010755 0.1886244 0.0424382 0.0068703 0.0025814 0.0 92.2209305 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 42.55 0.0125646 0.0803428 1.6118966 0.1597655 0.0349211 0.0068871 0.0025367 0.0 92.8133716 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
