128 6 6 0.0 0.0 2.85 0.1408942 0.0768236 1.3371215 -10.4189628 30.8024426 0.9080569 0.0013494 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 8 8 0.0 0.0 5.47 0.0637449 0.062506 1.3026228 1.6266234 11.6979053 0.1456645 0.0559791 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 13 13 0.0 0.0 7.81 0.038507 0.0553416 1.2970966 1.9053872 5.4357828 0.0514896 0.0387428 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 13 13 0.0 0.0 9.82 0.0237201 0.0578232 1.3036523 1.436643 3.0822497 0.026722 0.020477 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 13 13 0.0 0.0 11.52 0.0162374 0.060245 1.4727777 1.054733 1.551137 0.0173933 0.0147363 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 13 13 0.0 0.0 13.19 0.0100797 0.0604081 1.5336394 0.8036708 0.6890036 0.0110032 0.0105652 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 13 13 0.0 0.0 14.54 0.0067973 0.0602749 1.4710031 0.6824318 0.3348475 0.0075341 0.00915 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 13 13 0.0 0.0 15.85 0.0056244 0.0598492 1.3412975 0.5947776 0.2211063 0.0057738 0.0077512 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 13 13 0.0 0.0 17.05 0.0047473 0.0635842 1.3482476 0.5072007 0.1614155 0.0053535 0.0068989 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 13 13 0.0 0.0 18.19 0.0040854 0.0638241 1.3605434 0.423547 0.1142211 0.0043695 0.0060453 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 14 14 0.0 0.0 19.06 0.0046683 0.0551132 1.405368 0.3822925 0.1231807 0.0047629 0.0075714 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 14 14 0.0 0.0 19.91 0.0042189 0.0597933 1.3983825 0.3160878 0.1016731 0.0041276 0.0063125 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
