2944 4 4 0.0 0.0 24.14 0.0070224 0.0544383 1.4643288 0.0418339 0.0045031 0.0035062 0.0013882 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 4 4 0.0 0.0 24.31 0.0067068 0.0497542 1.4986842 0.0370526 0.0044196 0.003346 0.0010923 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 5 5 0.0 0.0 24.49 0.0059027 0.0504757 1.4847241 0.0393028 0.0051248 0.0030838 0.0008811 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 5 5 0.0 0.0 24.72 0.005625 0.0508889 1.3283381 0.0258614 0.0039914 0.003285 0.0009541 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 5 5 0.0 0.0 24.91 0.0052246 0.0502009 1.2964938 0.0229408 0.002791 0.0029073 0.0008349 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 5 5 0.0 0.0 25.06 0.004838 0.0476322 1.3185177 0.0231396 0.002227 0.002496 0.000631 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 5 5 0.0 0.0 25.27 0.0048911 0.0491172 1.4105924 0.0221315 0.0015678 0.0021638 0.0005773 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 5 5 0.0 0.0 25.46 0.0041339 0.0445964 1.4618496 0.0185287 0.0020329 0.0023078 0.0004945 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 5 5 0.0 0.0 25.63 0.004107 0.0424453 1.5218472 0.0114358 0.00115 0.0023376 0.0005256 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 6 6 0.0 0.0 25.77 0.0042121 0.0442889 1.5686731 0.0153164 0.0015318 0.0020615 0.0010718 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 6 6 0.0 0.0 25.89 0.0037633 0.0404337 1.6289982 0.00525 0.001419 0.0025285 0.0005317 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 6 6 0.0 0.0 26.03 0.0034984 0.0454749 1.617113 0.0136751 0.0011787 0.0017681 0.0004516 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 6 6 0.0 0.0 26.18 0.0034247 0.0448707 1.6162823 0.0110663 0.0010789 0.0017273 0.0006806 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 6 6 0.0 0.0 26.25 0.0033578 0.0441497 1.5635185 0.0065722 0.0008181 0.0017911 0.0003998 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 6 6 0.0 0.0 26.26 0.004268 0.0431771 1.4979906 -0.001775 0.0040391 0.0021354 0.0040402 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 6 6 0.0 0.0 26.28 0.0029281 0.0421735 1.4826415 0.0031082 0.0009882 0.0017663 0.0006999 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 7 7 0.0 0.0 26.32 0.002647 0.0395832 1.4775552 0.0094332 0.0007813 0.001369 0.0011464 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 7 7 0.0 0.0 26.36 0.0025787 0.0411098 1.5365654 0.0091971 0.000621 0.0011991 0.0005478 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 7 7 0.0 0.0 26.43 0.0026446 0.0412207 1.42638 0.0061776 0.0005222 0.0011877 0.0004279 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 7 7 0.0 0.0 26.49 0.0027658 0.0406571 1.3417149 0.0027056 0.0005002 0.0013256 0.0010405 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 7 7 0.0 0.0 26.58 0.0028269 0.0440204 1.3991793 0.0030697 0.0003982 0.0011795 0.0003487 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 8 8 0.0 0.0 26.55 0.0028691 0.0460696 1.4730032 -0.0025214 0.0003465 0.0014508 0.0003713 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 8 8 0.0 0.0 26.68 0.0029275 0.0416562 1.5907655 0.000957 0.000402 0.00123 0.0004834 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 8 8 0.0 0.0 26.69 0.0027463 0.0416149 1.7925801 -0.0033752 0.0002925 0.0014221 0.0003642 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 8 8 0.0 0.0 26.59 0.0022373 0.041044 1.7924565 0.0004422 0.0002574 0.0011461 0.0003163 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 8 8 0.0 0.0 26.47 0.0025642 0.0426664 1.793536 0.0009085 0.0003494 0.0011379 0.0008476 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 8 8 0.0 0.0 26.48 0.0025465 0.0393482 1.7443225 -0.000717 0.0005136 0.0012131 0.0011065 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 8 8 0.0 0.0 26.57 0.0028539 0.041748 1.8513424 -0.0116157 0.0004224 0.0018627 0.0007169 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 8 8 0.0 0.0 26.55 0.0022421 0.0418498 1.6867024 -0.0034025 0.0003307 0.0013687 0.0004408 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 9 9 0.0 0.0 26.5 0.002256 0.0430184 1.5300212 0.0025922 0.000241 0.0009626 0.0003183 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 9 9 0.0 0.0 26.46 0.0026884 0.0411495 1.713341 -0.0008513 0.0002492 0.0011662 0.0002995 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 9 9 0.0 0.0 26.48 0.0023085 0.0416635 1.5667542 -0.0008516 0.0002178 0.001117 0.0002695 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 9 9 0.0 0.0 26.39 0.0021144 0.0399375 1.5953901 -0.0023153 0.0001936 0.0011741 0.0002177 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 9 9 0.0 0.0 26.33 0.0024328 0.040523 1.5925936 -0.0054001 0.0001926 0.0013604 0.0003236 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 10 10 0.0 0.0 26.3 0.0025509 0.039419 1.5911569 -0.0049172 0.0001914 0.0013153 0.0002737 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 10 10 0.0 0.0 26.25 0.002283 0.0398027 1.5848181 -0.0009983 0.0001919 0.0010944 0.0002795 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 10 10 0.0 0.0 26.18 0.0022732 0.0361957 1.7111947 0.0001102 0.0001935 0.0009999 0.0002353 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 10 10 0.0 0.0 26.08 0.0026779 0.0392476 1.7225542 -0.0053927 0.0001985 0.0013443 0.0002137 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7808 10 10 0.0 0.0 26.05 0.0026344 0.0405885 1.7108324 -0.0045826 0.0001876 0.0013333 0.0002436 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7936 10 10 0.0 0.0 26.06 0.0021847 0.0405446 1.7956315 -0.0079674 0.0002693 0.0016013 0.0002473 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8064 10 10 0.0 0.0 26.13 0.0021692 0.0351896 1.6400049 0.0021157 0.0002203 0.0009423 0.0002181 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8192 10 10 0.0 0.0 26.11 0.0023695 0.0400642 1.6131768 -0.0007301 0.0002174 0.0010418 0.0006139 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8320 11 11 0.0 0.0 26.17 0.0024444 0.0434976 1.571148 -0.0037292 0.0001915 0.0012257 0.0003593 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8448 11 11 0.0 0.0 26.16 0.0020411 0.0404192 1.5788938 -0.0011175 0.0002006 0.0010375 0.0004586 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8576 11 11 0.0 0.0 26.26 0.0020436 0.0324559 1.5315074 -0.0006066 0.0001788 0.000971 0.0002676 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8704 11 11 0.0 0.0 26.31 0.0022663 0.0392241 1.4928955 -0.0018992 0.0001532 0.0009624 0.0002809 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8832 11 11 0.0 0.0 26.3 0.0024547 0.0382455 1.5337087 -0.0009169 0.0001382 0.0009014 0.000243 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8960 11 11 0.0 0.0 26.37 0.0021302 0.0391505 1.6732387 -0.0103219 0.0001738 0.001519 0.0002808 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9088 11 11 0.0 0.0 26.36 0.002289 0.0370437 1.6507695 -3e-07 0.0001334 0.0008669 0.0002062 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
