128 0 0 0.0 0.0 7.22 0.0649782 0.1262286 1.5936694 -4.6441964 2.568743 0.3109415 0.0085907 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 13.74 0.0227544 0.0931425 1.1016505 0.1051677 0.4256435 0.0410363 0.0068513 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 20.34 0.0145607 0.0776309 1.062752 0.5735527 0.2758107 0.0106555 0.0037983 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 28.17 0.0111272 0.0683512 1.083784 0.561186 0.1947801 0.0067747 0.0029592 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 35.28 0.0092439 0.0659071 1.0880848 0.4796233 0.1323344 0.0050421 0.0023461 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 41.63 0.0082082 0.0632759 1.1031246 0.3803402 0.0794101 0.0045406 0.0022673 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 47.25 0.0073759 0.0584211 1.1425514 0.3217251 0.054996 0.0041434 0.0019991 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 52.31 0.0066983 0.0544208 1.1648515 0.2830948 0.0454685 0.0037572 0.0018409 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 56.66 0.0058771 0.0519745 1.2154785 0.2277991 0.0265164 0.0034872 0.0020093 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 60.31 0.0056761 0.0508808 1.3039753 0.19137 0.0223096 0.002674 0.0017371 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 1 1 0.0 0.0 63.46 0.0050749 0.0486175 1.3056977 0.1486254 0.014905 0.003301 0.0015102 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
