128 0 0 0.0 0.0 2.16 0.2362529 0.0527742 1.4176202 -13.4049658 26.5466299 0.9079364 0.0005605 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 4.01 0.1314936 0.0481826 1.3601238 -0.0849137 4.0162117 0.1463743 0.0245108 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 5.66 0.1026044 0.0378372 1.3568812 1.0737272 1.8125999 0.0656331 0.0282003 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 0 0 0.0 0.0 7.14 0.0835382 0.0313812 1.4047315 1.0763129 1.3033544 0.050566 0.0272234 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 0 0 0.0 0.0 8.69 0.0669498 0.0299009 1.4065947 1.0951422 1.1441327 0.0377665 0.0228061 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 10.36 0.0552393 0.0313157 1.3888795 1.5655924 3.2815354 0.0300326 0.0175058 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 11.86 0.0503771 0.0313206 1.5230327 0.7578662 0.7301887 0.0286131 0.0157016 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 13.19 0.0501454 0.0247838 1.5093088 0.611253 0.4759989 0.0293844 0.0138789 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 1 1 0.0 0.0 14.4 0.0489243 0.0222668 1.4903104 0.5723867 0.4417863 0.0275774 0.0123107 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 1 1 0.0 0.0 15.58 0.0461627 0.0204878 1.4333273 0.5410395 0.4531995 0.0267004 0.0115561 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 1 1 0.0 0.0 16.65 0.0405921 0.0200085 1.5026605 0.5089012 0.3007405 0.0218122 0.0101396 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 1 1 0.0 0.0 17.61 0.0374935 0.0200226 1.5525538 0.4305526 0.2446903 0.0206063 0.0082712 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 1 1 0.0 0.0 18.46 0.034785 0.0184 1.5146199 0.4265667 0.2898195 0.0191921 0.007143 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 2 2 0.0 0.0 19.28 0.031231 0.0198359 1.600507 0.5576721 0.5255945 0.0158281 0.0065127 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 2 2 0.0 0.0 19.96 0.0290714 0.0206204 1.5293796 0.3025656 0.1349316 0.0154195 0.005991 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 2 2 0.0 0.0 20.62 0.02892 0.0190463 1.6562029 0.2470838 0.1097684 0.015989 0.0060431 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 2 2 0.0 0.0 21.26 0.0286891 0.0192668 1.6539949 0.2311328 0.1077771 0.0160009 0.0054751 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 2 2 0.0 0.0 21.84 0.0265871 0.0190389 1.5935047 0.2243209 0.1048572 0.0143764 0.005368 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 2 2 0.0 0.0 22.39 0.0245672 0.0161696 1.6077469 0.1894984 0.0860438 0.0140648 0.0051431 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 2 2 0.0 0.0 22.84 0.0239225 0.0154656 1.638545 0.1745973 0.0740305 0.0130911 0.0045717 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 2 2 0.0 0.0 23.32 0.02193 0.0166351 1.6254291 0.1546915 0.060836 0.0120243 0.0049595 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
