2944 15 15 0.0 0.0 25.04 0.0049589 0.0409288 1.3721385 0.0326769 0.0033945 0.002574 0.0033381 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 15 15 0.0 0.0 25.24 0.0046605 0.0406516 1.4244813 0.0248055 0.0025053 0.0025143 0.0031962 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 15 15 0.0 0.0 25.41 0.0045638 0.0385416 1.4018379 0.0187975 0.002603 0.0028227 0.0031314 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 15 15 0.0 0.0 25.51 0.0045519 0.0349209 1.3353375 0.0206161 0.0021484 0.0022957 0.0027178 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 16 16 0.0 0.0 25.71 0.0047177 0.0343299 1.2827804 0.0122428 0.0016828 0.0025633 0.0031142 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 16 16 0.0 0.0 25.86 0.0049884 0.0354257 1.3164927 0.0093046 0.0014753 0.0025396 0.0029086 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 16 16 0.0 0.0 25.94 0.0050604 0.0354271 1.3538567 0.0125067 0.001919 0.0025587 0.0027724 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 16 16 0.0 0.0 25.94 0.0051765 0.031871 1.3363147 0.0095303 0.0019865 0.0027196 0.0028842 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 16 16 0.0 0.0 25.91 0.0050019 0.0349919 1.3529487 0.0014514 0.0016044 0.0029713 0.0027189 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 16 16 0.0 0.0 25.96 0.0047399 0.0322561 1.3385122 0.0047248 0.0011775 0.0024418 0.0025301 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 16 16 0.0 0.0 25.93 0.0044707 0.0347973 1.2872855 0.0031708 0.0010762 0.0024009 0.0023792 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 16 16 0.0 0.0 25.93 0.0045982 0.0326556 1.3915153 0.0043888 0.0009796 0.002252 0.0022852 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 17 17 0.0 0.0 25.99 0.0042905 0.029978 1.4915624 0.0002426 0.0009679 0.0024816 0.0022444 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 17 17 0.0 0.0 26.05 0.0039403 0.031978 1.4357951 0.0057636 0.0009721 0.0021645 0.0019413 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 17 17 0.0 0.0 26.08 0.0040399 0.033352 1.4979091 0.0054405 0.0009507 0.0021159 0.0019819 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 17 17 0.0 0.0 26.11 0.0039307 0.0326556 1.4258454 0.0083811 0.0010153 0.0018924 0.0020075 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 17 17 0.0 0.0 26.15 0.0040818 0.0316917 1.4908121 0.0036443 0.0010304 0.0021219 0.001862 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 17 17 0.0 0.0 26.17 0.0036315 0.0306765 1.5139474 0.0026688 0.000679 0.0019778 0.0017941 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 17 17 0.0 0.0 26.15 0.0037939 0.0304083 1.4909215 -0.0013449 0.0007474 0.0021482 0.0019345 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 17 17 0.0 0.0 26.3 0.0035999 0.0301275 1.5068718 0.0006765 0.0006612 0.0019255 0.0017748 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 18 18 0.0 0.0 26.36 0.0034803 0.0297913 1.4081791 0.0029823 0.0006568 0.0017681 0.0018282 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 18 18 0.0 0.0 26.47 0.0033915 0.0302372 1.4207389 -0.0003396 0.000535 0.0018644 0.0019777 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 18 18 0.0 0.0 26.49 0.0037963 0.0300201 1.4037161 -0.0044674 0.0007692 0.0022552 0.0020078 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 18 18 0.0 0.0 26.53 0.0034448 0.0287013 1.3064088 0.002978 0.000667 0.0016764 0.0019055 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 18 18 0.0 0.0 26.57 0.0034797 0.0307095 1.3447877 0.002683 0.0005794 0.0016231 0.0017077 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 18 18 0.0 0.0 26.58 0.003959 0.0294033 1.4547617 -0.0017356 0.0007045 0.0019527 0.0020224 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 18 18 0.0 0.0 26.64 0.0033372 0.0270458 1.4640588 -0.0026044 0.0007214 0.0020571 0.0017837 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 19 19 0.0 0.0 26.65 0.0031524 0.0297918 1.527329 0.0024133 0.0005101 0.0015293 0.0015961 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 19 19 0.0 0.0 26.62 0.0030593 0.029254 1.5581638 0.0004547 0.0004783 0.0016284 0.002103 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 19 19 0.0 0.0 26.55 0.0029986 0.0291197 1.4760007 -0.001227 0.0004688 0.0016222 0.0017168 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 19 19 0.0 0.0 26.61 0.0031162 0.0285519 1.46796 0.0006227 0.0005201 0.0016149 0.0017782 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 19 19 0.0 0.0 26.63 0.00298 0.0274228 1.391744 -0.0006407 0.0003502 0.0014274 0.0013792 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 20 20 0.0 0.0 26.63 0.0027072 0.025117 1.3867727 -0.0044288 0.0003038 0.0015676 0.0012899 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 20 20 0.0 0.0 26.57 0.002821 0.0252633 1.4019453 -0.0042564 0.0003968 0.0015669 0.001341 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 20 20 0.0 0.0 26.54 0.0028754 0.0257117 1.5222024 0.0006488 0.0003742 0.0013176 0.0014383 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 20 20 0.0 0.0 26.55 0.0029786 0.0270159 1.6723258 -0.0085106 0.000359 0.0018966 0.0014621 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 20 20 0.0 0.0 26.5 0.0029146 0.0264554 1.6290301 -0.0023978 0.0003791 0.0015474 0.0014183 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 20 20 0.0 0.0 26.47 0.0027019 0.0268257 1.4123161 0.001045 0.0004631 0.0013827 0.0016008 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7808 20 20 0.0 0.0 26.41 0.002496 0.0259141 1.3480466 0.0001266 0.0003473 0.0012931 0.0012758 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
7936 20 20 0.0 0.0 26.36 0.0029546 0.0259844 1.4210209 -6.3e-05 0.0003986 0.0013473 0.0014653 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8064 21 21 0.0 0.0 26.46 0.0026314 0.0234025 1.4343116 -0.0005784 0.0004169 0.0013778 0.0015774 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8192 21 21 0.0 0.0 26.48 0.0025225 0.0246435 1.4116052 -0.0013767 0.0002533 0.0012492 0.0013534 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8320 21 21 0.0 0.0 26.42 0.0025398 0.0220848 1.4074428 -0.0031566 0.0002786 0.0013943 0.0015127 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8448 21 21 0.0 0.0 26.49 0.0026945 0.0243632 1.5208989 -0.0035418 0.0002871 0.0014057 0.0014766 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8576 21 21 0.0 0.0 26.52 0.0028938 0.0235057 1.5277339 -0.0017357 0.0004116 0.0014729 0.0016317 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8704 21 21 0.0 0.0 26.51 0.002833 0.0254348 1.4954282 2.8e-06 0.0005107 0.001521 0.0017015 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8832 21 21 0.0 0.0 26.59 0.0030384 0.0247827 1.3978984 0.0015257 0.0005712 0.001397 0.0018996 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
8960 23 23 0.0 0.0 26.6 0.0029251 0.0230405 1.3749566 0.000258 0.0004844 0.0013698 0.0014513 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9088 23 23 0.0 0.0 26.58 0.0025838 0.0237742 1.4052311 0.0003094 0.0003308 0.0012254 0.001387 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9216 23 23 0.0 0.0 26.56 0.0027221 0.022052 1.5205527 -0.0045603 0.000364 0.0014997 0.0015294 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9344 23 23 0.0 0.0 26.56 0.0023092 0.0209536 1.6087523 -0.0019896 0.0002521 0.0012356 0.001162 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9472 24 24 0.0 0.0 26.62 0.0024209 0.0236497 1.5761778 -0.0003357 0.0004641 0.0011762 0.0016817 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9600 25 25 0.0 0.0 26.63 0.002281 0.0227023 1.4940323 -0.0008725 0.0003321 0.0011414 0.0014603 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9728 25 25 0.0 0.0 26.66 0.0024247 0.0211766 1.4340026 -0.0011561 0.0002488 0.0010628 0.0012032 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
9856 25 25 0.0 0.0 26.62 0.0022708 0.0208246 1.4524791 -0.0036086 0.0002228 0.0012195 0.0011255 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
