128 0 0 0.0 0.0 78.55 0.1030498 1.2244368 0.5739242 -2.2931685 0.548706 0.153822 0.004028 0.0 53.1609592 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 78.74 0.0798071 1.1965226 0.4776905 -0.1968119 0.1058769 0.0350171 0.0104051 0.0 83.3645781 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 83.64 0.0483197 1.1354024 0.5337459 0.0858123 0.0768719 0.0181895 0.0121649 0.0 92.926538 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 106.58 0.0327452 1.0986842 0.5799055 0.1670595 0.0573285 0.0110028 0.0079044 0.0 95.1924624 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 104.6 0.0247072 1.065333 0.6288742 0.1799364 0.0453046 0.0078819 0.0050395 0.0 95.9654192 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 105.03 0.0195904 1.0336819 0.664013 0.1847283 0.0356988 0.0061389 0.0037418 0.0 96.7903558 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 105.22 0.0157804 1.0231556 0.6956874 0.1648775 0.0254144 0.0047918 0.002771 0.0 97.4161068 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 105.56 0.0136486 1.0189378 0.7388293 0.1485107 0.0197147 0.0038681 0.0022478 0.0 97.5305905 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 106.5 0.0125604 1.0026945 0.7784644 0.1295196 0.0148399 0.0033936 0.0017674 0.0 97.4396067 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 107.51 0.0116573 1.0030265 0.7843355 0.114416 0.0108483 0.0030762 0.0018318 0.0 97.8192042 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 109.23 0.0110591 1.0014914 0.8241774 0.0975938 0.0077543 0.0028095 0.0016081 0.0 97.5545154 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 108.71 0.0103248 0.9989516 0.8516793 0.0777091 0.0058581 0.002734 0.0017448 0.0 97.365482 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 107.54 0.0102442 0.9905041 0.9037828 0.0670905 0.0046725 0.0026931 0.0015128 0.0 97.6140588 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 4 4 0.0 0.0 108.46 0.0095817 0.9867403 0.9357346 0.0550362 0.0040683 0.0026609 0.0015399 0.0 97.7159305 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 4 4 0.0 0.0 106.29 0.0093077 0.9922641 0.932207 0.0502286 0.0029917 0.0023859 0.0015025 0.0 97.6240957 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 4 4 0.0 0.0 104.97 0.008902 0.9923289 0.9584786 0.0430562 0.0025828 0.0021689 0.0014279 0.0 97.8544812 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 4 4 0.0 0.0 102.64 0.0083415 1.0008771 0.9586139 0.0343805 0.0019242 0.0022603 0.0014785 0.0 97.8681215 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
