2944 4 4 0.0 0.0 25.27 0.0079593 0.0223876 1.5588578 0.0675626 0.1698034 0.0184053 0.0270592 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 4 4 0.0 0.0 25.4 0.008645 0.0221055 1.5356847 0.0558101 0.2171726 0.0181987 0.0334822 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 5 5 0.0 0.0 25.51 0.0078175 0.0215127 1.5421084 0.0334737 0.2018933 0.0186057 0.0302697 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 5 5 0.0 0.0 25.49 0.0067952 0.0220992 1.3988423 0.0546514 0.1850822 0.0158629 0.025122 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 6 6 0.0 0.0 25.58 0.0074146 0.0226913 1.3777305 0.0492004 0.1777303 0.0140535 0.02441 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 7 7 0.0 0.0 25.71 0.0078557 0.0187051 1.4736193 -0.031255 0.2498286 0.0183796 0.0324879 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 8 8 0.0 0.0 25.86 0.0066142 0.0197048 1.5131462 0.0839922 0.1362864 0.0134564 0.0161896 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 8 8 0.0 0.0 25.99 0.0064235 0.018766 1.5623809 0.0277308 0.1720958 0.0145099 0.0176247 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 8 8 0.0 0.0 26.15 0.0079668 0.0183037 1.6471049 0.0110365 0.2273472 0.0169044 0.028103 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 9 9 0.0 0.0 26.35 0.0070343 0.0184768 1.6229509 0.0311793 0.1974799 0.0155857 0.0236051 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 10 10 0.0 0.0 26.5 0.0075055 0.0188123 1.6505729 0.0572532 0.1302673 0.0139566 0.0242421 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 10 10 0.0 0.0 26.64 0.0065754 0.0169263 1.6298795 -0.0067172 0.148948 0.0156897 0.0196073 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 10 10 0.0 0.0 26.77 0.0079494 0.017111 1.6690816 -0.0078147 0.2268096 0.0179029 0.0314779 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 12 12 0.0 0.0 26.88 0.0088217 0.0169037 1.9103421 0.0126736 0.281432 0.0177841 0.0267111 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
