128 0 0 0.0 0.0 7.47 0.0735259 0.1382595 2.3233998 -5.1556658 3.0087897 0.3462789 0.0066567 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 13.91 0.0270285 0.0918115 1.2753557 0.0161241 0.4384028 0.0497498 0.008864 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 20.7 0.0179825 0.0743361 1.1346746 0.6584037 0.3911139 0.0137631 0.0047873 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 28.77 0.0132906 0.0689676 1.1455867 0.6447048 0.27756 0.0081256 0.0034791 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 36.08 0.0106637 0.0627814 1.1884868 0.554688 0.1852115 0.0061646 0.0026548 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 42.82 0.0088529 0.0563028 1.1356772 0.4452671 0.1167312 0.0049369 0.0022483 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 49.01 0.0072421 0.0535573 1.1618304 0.3877886 0.0849003 0.0043224 0.0021047 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 54.48 0.0066129 0.0530792 1.2044472 0.342369 0.0586364 0.0035158 0.0018786 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 59.53 0.0056657 0.0516681 1.2405862 0.2709098 0.0382654 0.0033275 0.0018155 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 64.03 0.0054389 0.0522146 1.2690159 0.2271037 0.0287985 0.0027916 0.001683 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 67.89 0.005734 0.0487913 1.3227102 0.1940265 0.021231 0.0027247 0.0016947 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 71.36 0.0048803 0.0476139 1.3527306 0.1557101 0.0136078 0.0025632 0.0016402 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 74.46 0.0041643 0.0469614 1.3908341 0.123625 0.009071 0.0026459 0.0013838 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 76.91 0.0042477 0.0472646 1.4039781 0.1180269 0.0077026 0.0019949 0.0012887 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 78.83 0.0041905 0.047398 1.4373839 0.09787 0.0059579 0.002008 0.001279 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 4 4 0.0 0.0 80.26 0.0039254 0.0441102 1.5052188 0.0792462 0.004285 0.0020465 0.001097 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 4 4 0.0 0.0 81.36 0.0037483 0.0428687 1.6806069 0.060995 0.0033283 0.0019402 0.0010687 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 4 4 0.0 0.0 82.41 0.0034552 0.0418884 1.5633877 0.051428 0.0025247 0.0017154 0.0010106 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 5 5 0.0 0.0 83.53 0.0034175 0.04293 1.7809465 0.0398743 0.0022577 0.0021096 0.0011913 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 5 5 0.0 0.0 84.94 0.0034849 0.042595 1.7868451 0.0376686 0.0017077 0.0019352 0.0009286 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 5 5 0.0 0.0 86.44 0.0033517 0.0431055 1.7974207 0.0316549 0.0014471 0.0020729 0.0010184 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 5 5 0.0 0.0 87.76 0.0031939 0.0414384 1.8851399 0.0300123 0.0012563 0.0016487 0.0008319 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 6 6 0.0 0.0 88.88 0.0032191 0.0418956 1.9835512 0.0265528 0.0009921 0.0015163 0.0008958 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 6 6 0.0 0.0 89.84 0.002998 0.0427221 2.0692826 0.0227613 0.0008181 0.0014602 0.0009714 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 6 6 0.0 0.0 90.94 0.0031432 0.0404155 1.9698149 0.0153697 0.0006867 0.0015642 0.0009478 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 7 7 0.0 0.0 92.0 0.0031339 0.0390237 2.2318888 0.0130572 0.0005643 0.0015056 0.0008827 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 7 7 0.0 0.0 92.91 0.0029202 0.0369995 2.2785787 0.0093759 0.0005271 0.0015686 0.0008591 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 7 7 0.0 0.0 93.71 0.0028285 0.0367632 2.2906303 0.0124131 0.0004116 0.0012928 0.0007825 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 7 7 0.0 0.0 94.52 0.0030567 0.0351572 2.5344446 0.0064526 0.0003939 0.0015358 0.0008945 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 7 7 0.0 0.0 95.43 0.0031156 0.035757 2.548603 -0.0081221 0.0005285 0.0024 0.0012265 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 7 7 0.0 0.0 95.97 0.0033601 0.0350467 2.3971489 0.0053893 0.000438 0.0015883 0.0008496 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 7 7 0.0 0.0 96.32 0.0029582 0.0337268 2.6747814 0.0033969 0.0004123 0.0016463 0.0010479 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 7 7 0.0 0.0 96.55 0.0029504 0.0333314 2.5965506 0.0050354 0.0003881 0.0014513 0.0010806 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 7 7 0.0 0.0 96.43 0.0028395 0.0339168 2.5342493 0.0054513 0.0003797 0.0013622 0.0008547 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 7 7 0.0 0.0 95.97 0.0030303 0.0315869 2.6433784 0.0015937 0.0003388 0.0014765 0.0009522 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 7 7 0.0 0.0 95.37 0.0030715 0.0329658 2.8050905 -0.0020738 0.0003293 0.0016958 0.0008605 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 8 8 0.0 0.0 95.09 0.0030059 0.0334663 3.1335066 0.0004441 0.0002886 0.0015028 0.000905 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 8 8 0.0 0.0 95.14 0.0029642 0.0322389 3.0537959 -0.00263 0.0012715 0.0014956 0.0015075 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 8 8 0.0 0.0 95.36 0.002813 0.0295247 3.1306373 0.0006003 0.0003948 0.0014522 0.0009279 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 8 8 0.0 0.0 95.68 0.0031291 0.0323257 3.1908241 -0.0008158 0.0008089 0.0014502 0.0012156 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 8 8 0.0 0.0 96.13 0.0027869 0.0320895 3.4177199 -0.0025469 0.0006711 0.0014693 0.0008374 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 9 9 0.0 0.0 96.72 0.003079 0.0302043 3.2402603 -0.0011003 0.0005538 0.0014803 0.0009616 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 9 9 0.0 0.0 97.07 0.0030235 0.0313177 3.3966309 -0.002022 0.000317 0.0016951 0.0007794 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 10 10 0.0 0.0 97.4 0.0028469 0.0302294 3.4609359 -0.0068157 0.0003103 0.0019971 0.0008324 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 10 10 0.0 0.0 97.68 0.0030023 0.0295401 3.6609655 0.0025557 0.0002562 0.0013159 0.0007175 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 11 11 0.0 0.0 98.08 0.0028949 0.0294443 3.7926383 0.0008219 0.0002721 0.0014428 0.0007484 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 11 11 0.0 0.0 98.55 0.0025119 0.0273745 3.7551666 0.0003248 0.0002357 0.0014701 0.0006466 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 11 11 0.0 0.0 98.69 0.0028623 0.0286688 3.6080763 -0.0003631 0.0002166 0.0014508 0.0008012 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 12 12 0.0 0.0 98.99 0.0028187 0.0281028 3.7494794 -0.0026892 0.0002728 0.0016212 0.0008859 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 12 12 0.0 0.0 99.64 0.0027004 0.028548 3.8854672 -0.0001538 0.0002425 0.0014216 0.0006656 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
