128 0 0 0.0 0.0 8.1 0.0535277 0.0513213 0.9125769 -4.5935997 2.3814324 0.3126592 0.0282298 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 1 1 0.0 0.0 15.53 0.029806 0.0404619 1.0289702 -0.3046277 0.4820131 0.0670275 0.021743 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 22.36 0.019932 0.033546 1.0591564 0.3213922 0.2804764 0.027823 0.011304 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 28.84 0.0150183 0.0310432 1.0990189 0.4178036 0.257092 0.0187852 0.008266 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 2 2 0.0 0.0 34.8 0.0116284 0.0286993 1.1204241 0.4075349 0.1748137 0.0143348 0.0076332 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 2 2 0.0 0.0 40.09 0.0101966 0.0270695 1.1649979 0.3651175 0.1383916 0.0121141 0.0070569 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 44.92 0.0085048 0.0247756 1.206605 0.326057 0.0981693 0.0100543 0.0050905 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 3 3 0.0 0.0 48.94 0.0076383 0.0241271 1.2495284 0.2932778 0.0725662 0.008831 0.0051765 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 3 3 0.0 0.0 52.6 0.0068526 0.0231407 1.2908064 0.2326559 0.051623 0.0078448 0.0047369 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 55.98 0.0063048 0.0226009 1.3354936 0.207198 0.0399533 0.0067781 0.0035616 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 4 4 0.0 0.0 58.79 0.0057464 0.0229485 1.3754347 0.1744038 0.0275528 0.0063297 0.0033853 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 4 4 0.0 0.0 61.01 0.0056282 0.0221886 1.4037485 0.1400685 0.0224417 0.0062282 0.0041051 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 4 4 0.0 0.0 62.86 0.0053463 0.0207054 1.4487865 0.1175985 0.0167979 0.0057593 0.003276 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 5 5 0.0 0.0 64.45 0.0047981 0.0220829 1.3986064 0.09841 0.013353 0.0053434 0.0035206 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 5 5 0.0 0.0 65.96 0.0046626 0.0217357 1.4500432 0.0807766 0.0101306 0.0050521 0.003496 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 5 5 0.0 0.0 67.69 0.0045281 0.0210498 1.464114 0.0622954 0.0088839 0.005019 0.0045276 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 5 5 0.0 0.0 69.39 0.0043477 0.0205215 1.5291917 0.0550627 0.007089 0.0045675 0.0034561 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 6 6 0.0 0.0 70.97 0.0043358 0.0219998 1.5600737 0.0436546 0.0053126 0.0045841 0.0032744 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 6 6 0.0 0.0 72.4 0.0042978 0.0202727 1.6650858 0.0353025 0.0048362 0.00444 0.0027624 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 6 6 0.0 0.0 73.62 0.0037444 0.0214468 1.6738308 0.0344468 0.0039699 0.0040548 0.0027654 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 6 6 0.0 0.0 74.64 0.0039203 0.0211488 1.5750931 0.0278643 0.0037025 0.004156 0.0029232 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 6 6 0.0 0.0 75.71 0.004012 0.0204493 1.6693156 0.0220822 0.0037309 0.0044627 0.0030768 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 6 6 0.0 0.0 76.61 0.0042317 0.0220518 1.7018341 0.0165933 0.0039497 0.0041514 0.0029502 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 6 6 0.0 0.0 77.17 0.0040097 0.0208436 1.7786707 0.013803 0.0029818 0.0041518 0.002659 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 7 7 0.0 0.0 77.8 0.003961 0.022154 1.7911238 0.012383 0.0030763 0.0041206 0.0027414 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 7 7 0.0 0.0 78.22 0.0044101 0.0211471 1.8009289 0.0069809 0.0029088 0.0042415 0.0027849 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 7 7 0.0 0.0 78.44 0.0039873 0.0211551 1.8863149 -0.0010596 0.0025074 0.0044865 0.0024887 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 7 7 0.0 0.0 78.62 0.0040479 0.0196633 1.8797104 0.005159 0.0026994 0.0042074 0.0023462 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 7 7 0.0 0.0 78.81 0.004126 0.0189525 1.8860345 -0.00269 0.0027102 0.0047675 0.0023545 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 7 7 0.0 0.0 79.19 0.0037221 0.0183512 1.8786698 0.0058911 0.0020815 0.0040731 0.0022356 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 7 7 0.0 0.0 79.43 0.0038639 0.0192906 1.859689 0.0045779 0.0022301 0.0040124 0.0021966 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 7 7 0.0 0.0 79.85 0.0042166 0.0193107 1.8854122 -0.0015469 0.0020202 0.00416 0.0022531 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 7 7 0.0 0.0 80.41 0.0039459 0.0192233 1.8968179 -0.0042303 0.0052655 0.0042316 0.0061368 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 7 7 0.0 0.0 80.93 0.0038707 0.0182565 1.9192488 -0.0095636 0.0030557 0.0046107 0.0060646 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 7 7 0.0 0.0 81.37 0.0036829 0.0165959 1.9468878 -6.77e-05 0.0021566 0.0039805 0.0022483 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 7 7 0.0 0.0 81.58 0.0035819 0.0180283 1.9675224 0.0024283 0.0018832 0.00373 0.002068 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 7 7 0.0 0.0 81.75 0.0036125 0.0167847 1.953663 -0.0014282 0.0019972 0.0038409 0.0020725 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 7 7 0.0 0.0 81.65 0.0036371 0.0158455 2.0037355 -0.0001624 0.0016992 0.0036879 0.002366 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 7 7 0.0 0.0 81.52 0.0036722 0.0163255 2.0312279 0.0010851 0.0016556 0.0035256 0.0020323 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 7 7 0.0 0.0 81.56 0.0037097 0.0163418 2.0067429 -0.0008936 0.0016851 0.0036142 0.0023416 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 7 7 0.0 0.0 81.47 0.0035402 0.0169341 2.0867806 -0.0044172 0.0015643 0.0038376 0.0022593 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 7 7 0.0 0.0 81.51 0.0034645 0.0161157 2.0575059 -0.001546 0.0014219 0.0034207 0.001954 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 7 7 0.0 0.0 81.58 0.0038088 0.0169654 2.0801479 -0.0048386 0.0015681 0.0036816 0.0021735 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 7 7 0.0 0.0 81.44 0.004016 0.0159665 2.1741286 -0.0102431 0.0014871 0.0040546 0.002305 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 7 7 0.0 0.0 81.75 0.0038304 0.0172241 2.1064597 -0.0108483 0.001527 0.0042513 0.0020845 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 7 7 0.0 0.0 81.95 0.0035625 0.0151536 1.9641718 -0.0073051 0.001433 0.0038553 0.0020282 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 7 7 0.0 0.0 82.19 0.0036351 0.0148782 2.0167254 -0.0010742 0.0013706 0.0035732 0.0020351 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 7 7 0.0 0.0 82.43 0.0037145 0.016391 2.068433 -0.0024663 0.001426 0.0035795 0.0019922 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 7 7 0.0 0.0 82.44 0.0036902 0.014783 2.212931 -0.0051494 0.0016539 0.0038972 0.0022587 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 7 7 0.0 0.0 82.63 0.0036158 0.0153749 2.1940975 -0.0016739 0.0015087 0.0036806 0.002153 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 7 7 0.0 0.0 82.56 0.0035381 0.0165073 2.2687884 -0.0111449 0.0016206 0.0043349 0.0020832 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 7 7 0.0 0.0 82.46 0.003809 0.0151692 2.3007238 -0.0008995 0.0018272 0.0037777 0.0022745 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 7 7 0.0 0.0 82.41 0.0033961 0.0155204 2.4043158 -0.0112929 0.0017832 0.0043077 0.0023722 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 7 7 0.0 0.0 82.38 0.0033511 0.0131933 2.3645758 -0.0016225 0.0016074 0.0036974 0.0021253 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7040 7 7 0.0 0.0 82.3 0.0034993 0.0142897 2.4108228 -0.0017812 0.0015302 0.0036708 0.0021351 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7168 7 7 0.0 0.0 82.42 0.0036193 0.0138754 2.6271996 -0.0008823 0.0014302 0.0035257 0.0019828 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7296 7 7 0.0 0.0 82.34 0.0035625 0.0143809 2.682158 -0.0032287 0.0015478 0.0036376 0.0022583 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7424 7 7 0.0 0.0 82.51 0.0036121 0.0153288 2.7511098 -0.0083933 0.0014616 0.0038862 0.0021287 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7552 7 7 0.0 0.0 82.77 0.0036248 0.0133777 2.8470974 -0.0058314 0.0013963 0.0037032 0.0021233 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7680 8 8 0.0 0.0 83.06 0.0035949 0.0136523 2.8993842 -0.0129614 0.0016762 0.0043658 0.0024167 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
