128 0 0 0.0 0.0 28.79 0.0120894 0.1860427 1.0785688 -1.4165684 1.0289028 0.1118065 0.1176202 0.0 67.6231126 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
256 0 0 0.0 0.0 29.32 0.0119805 0.1134 1.3186663 -0.2660529 0.3221593 0.032442 0.0411083 0.0 86.5032894 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
384 0 0 0.0 0.0 28.84 0.0091992 0.0902885 1.5911422 0.1538787 0.1184955 0.0082311 0.005527 0.0 90.13375 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 29.33 0.0104938 0.0850946 1.5549031 0.1733018 0.0960632 0.0057973 0.0024333 0.0 90.7371817 0.0  {'room_id': 1, 'explored_rooms': 2, 'raw_score': 0.0} 
640 1 1 50.0 0.2 30.82 0.0069835 0.0896662 1.5143637 0.3247447 0.1974057 0.0052004 0.0022437 0.0 90.215715 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 50.0} 
768 1 1 50.0 0.2 29.12 0.0080424 0.0951118 1.6411739 0.0575293 0.0677601 0.0052881 0.0037975 0.0 90.6775648 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 50.0} 
896 1 1 50.0 0.2 28.99 0.0082642 0.0760245 1.4986397 0.0595026 0.0485834 0.0062375 0.0036147 0.0 92.549129 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 50.0} 
1024 1 1 50.0 0.2 34.65 0.007077 0.0755564 1.4237387 0.0540317 0.0408801 0.0040879 0.001688 0.0 92.4724528 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 50.0} 
1152 2 2 45.0 0.18000000000000002 39.32 0.0077152 0.0783358 1.3633423 0.1043947 0.0433218 0.0041094 0.0023208 0.0 92.0878619 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 45.0} 
1280 2 2 45.0 0.18000000000000002 40.45 0.0065118 0.0808869 1.4246224 0.0894822 0.0358155 0.0040024 0.0024759 0.0 92.1626398 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 45.0} 
1408 2 2 45.0 0.18000000000000002 37.96 0.0056136 0.0758955 1.4112681 0.0168348 0.028672 0.0046686 0.0030876 0.0 92.9623712 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 45.0} 
1536 2 2 45.0 0.18000000000000002 37.34 0.0050049 0.0681293 1.3962573 0.0299866 0.0249868 0.0032647 0.0021834 0.0 93.5770984 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 45.0} 
1664 2 2 45.0 0.18000000000000002 39.95 0.0050496 0.0726131 1.3849019 -7.8e-05 0.0228483 0.003 0.0014144 0.0 93.1442961 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 45.0} 
1792 3 3 65.5 0.262 46.92 0.0049667 0.0650029 1.3772859 0.0461666 0.0203903 0.0033157 0.001338 0.0 93.9428766 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 65.5} 
1920 3 3 65.5 0.262 51.54 0.0044895 0.0721748 1.4479426 0.0203572 0.0156174 0.0023833 0.0010916 0.0 93.1206513 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 65.5} 
2048 3 3 65.5 0.262 50.97 0.0049496 0.0698701 1.3911904 0.0083792 0.0146901 0.0024631 0.0017093 0.0 93.9431167 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 65.5} 
2176 3 3 65.5 0.262 51.57 0.0045202 0.0673088 1.4155984 -0.0068239 0.0138969 0.0025939 0.00111 0.0 93.8580916 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 65.5} 
2304 3 3 65.5 0.262 50.97 0.0041055 0.0625897 1.4692995 -0.0007734 0.0127489 0.0023121 0.0010312 0.0 93.9747699 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 65.5} 
2432 4 4 58.95 0.2358 51.2 0.0037056 0.0645293 1.4725827 0.006614 0.0165142 0.00182 0.0010938 0.0 93.7705431 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 58.95} 
2560 4 4 58.95 0.2358 52.36 0.0035697 0.0667919 1.4954817 -0.0260528 0.0131866 0.0018838 0.0008417 0.0 93.9763149 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 58.95} 
2688 4 4 58.95 0.2358 51.51 0.0037775 0.0655447 1.5514396 -0.0169539 0.0127735 0.0017558 0.0007421 0.0 94.0278216 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 58.95} 
2816 4 4 58.95 0.2358 52.33 0.0040881 0.0677378 1.5771245 -0.0178591 0.0131844 0.0017537 0.0007707 0.0 93.8484803 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 58.95} 
2944 4 4 58.95 0.2358 52.55 0.003668 0.0684814 1.5756904 -0.0155228 0.011548 0.0021411 0.000721 0.0 93.7206566 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 58.95} 
3072 5 5 78.055 0.31222000000000005 52.58 0.0032214 0.0699941 1.5910102 -0.0235369 0.0127315 0.0017557 0.0007268 0.0 93.4368628 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 78.055} 
3200 5 5 78.055 0.31222000000000005 52.74 0.0036361 0.0677344 1.6330375 -0.0102255 0.010213 0.0017521 0.0012075 0.0 93.6524451 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 78.055} 
3328 5 5 78.055 0.31222000000000005 50.13 0.0033891 0.0602884 1.6545912 -0.0088487 0.0109754 0.0016164 0.0007586 0.0 94.7723212 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': 78.055} 
3456 5 5 78.055 0.31222000000000005 49.39 0.0032842 0.0608617 1.6756723 -0.0127394 0.0101538 0.0020168 0.0007882 0.0 94.6779037 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': 78.055} 
3584 5 5 78.055 0.31222000000000005 50.29 0.0028134 0.0612365 1.5613615 -0.0043646 0.0106454 0.0016083 0.0007915 0.0 94.524483 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': 78.055} 
3712 6 6 80.24950000000001 0.38099800000000006 49.96 0.0031699 0.0640805 1.5827786 -0.0040305 0.0115357 0.0014782 0.0006283 0.0 94.3283323 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 80.24950000000001} 
3840 6 6 80.24950000000001 0.38099800000000006 49.51 0.0030946 0.0642478 1.5883234 -0.0259825 0.0111937 0.0019426 0.0009306 0.0 94.1856992 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 80.24950000000001} 
3968 6 6 80.24950000000001 0.38099800000000006 48.38 0.0028881 0.0614278 1.6462056 -0.0164362 0.0121362 0.0014373 0.0007606 0.0 94.5536024 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 80.24950000000001} 
4096 6 6 80.24950000000001 0.38099800000000006 48.95 0.0029796 0.0589075 1.6262193 -0.0301592 0.0120693 0.0014567 0.0008549 0.0 94.9685481 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 80.24950000000001} 
4224 6 6 80.24950000000001 0.38099800000000006 49.08 0.0028481 0.0566544 1.6068735 0.0068209 0.0098682 0.0013591 0.0007196 0.0 94.9274335 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 80.24950000000001} 
4352 7 7 122.22455000000001 0.5428982 49.19 0.0024701 0.0569681 1.6063015 -0.0060499 0.0100254 0.0015491 0.0006673 0.0 94.9720555 0.0  {'room_id': 0, 'explored_rooms': 4, 'raw_score': 122.22455000000001} 
4480 7 7 122.22455000000001 0.5428982 48.78 0.0030152 0.0553161 1.7461559 -0.0147015 0.0106999 0.0015753 0.0009823 0.0 95.4694713 0.0  {'room_id': 0, 'explored_rooms': 4, 'raw_score': 122.22455000000001} 
4608 7 7 122.22455000000001 0.5428982 49.3 0.0028056 0.0555023 1.7393519 -0.0150585 0.0105231 0.0016941 0.0007769 0.0 95.4243708 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 122.22455000000001} 
4736 7 7 122.22455000000001 0.5428982 50.28 0.0029245 0.0552561 1.7114083 -0.0101585 0.0120128 0.0014701 0.0007849 0.0 95.0298193 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 122.22455000000001} 
4864 7 7 122.22455000000001 0.5428982 49.76 0.0026409 0.0547457 1.6822474 -0.0165776 0.0112737 0.0014922 0.000755 0.0 95.268736 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 122.22455000000001} 
4992 8 8 110.00209500000001 0.48860838 49.99 0.0028588 0.0556819 1.6334655 0.0012071 0.0089775 0.0012282 0.0007163 0.0 95.1551325 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 110.00209500000001} 
5120 8 8 110.00209500000001 0.48860838 49.72 0.0032271 0.0568749 1.6840602 -0.0180144 0.0111268 0.001644 0.0007922 0.0 94.9120299 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 110.00209500000001} 
5248 8 8 110.00209500000001 0.48860838 50.95 0.0032901 0.0547038 1.7829828 -0.0340268 0.0105726 0.0016306 0.0007762 0.0 95.5485393 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 110.00209500000001} 
5376 8 8 110.00209500000001 0.48860838 50.23 0.0034218 0.0513384 1.9312252 -0.019425 0.0112263 0.001813 0.0007675 0.0 95.8186664 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 110.00209500000001} 
5504 8 8 110.00209500000001 0.48860838 51.75 0.0037708 0.0517516 2.0837921 -0.0172092 0.0120454 0.0024035 0.0008988 0.0 95.9665255 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 110.00209500000001} 
5632 8 8 110.00209500000001 0.48860838 50.44 0.0033138 0.0481398 2.1237424 -0.0024406 0.0117771 0.001632 0.0007298 0.0 96.4695712 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 110.00209500000001} 
5760 9 9 149.00188550000001 0.6397475420000001 50.77 0.0030965 0.0540251 2.2293314 -0.0300196 0.0132185 0.0015773 0.0007733 0.0 95.667812 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 149.00188550000001} 
5888 9 9 149.00188550000001 0.6397475420000001 51.36 0.00295 0.0502951 2.2764888 -0.0185043 0.0115297 0.001671 0.0006783 0.0 95.9969031 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': 149.00188550000001} 
