128 0 0 0.0 0.0 7.43 0.0414858 0.0578509 0.8927604 -2.1133505 0.4721411 0.1431632 0.0097583 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 14.23 0.0234193 0.042744 1.0069812 -0.1258257 0.0864263 0.02981 0.0094634 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 21.27 0.015135 0.0361006 1.0437178 0.1762923 0.0735733 0.0117634 0.0048796 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 29.65 0.0113685 0.0313715 1.1098326 0.2049617 0.0510359 0.0077225 0.0035899 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 37.2 0.0095054 0.0280369 1.1850954 0.1890079 0.0357072 0.0061822 0.0042082 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 44.11 0.0077885 0.0270408 1.2516982 0.1918346 0.0293023 0.0045543 0.0024198 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 50.69 0.006557 0.0256296 1.3123926 0.1633494 0.0199117 0.0039209 0.0020025 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 56.46 0.0060481 0.0244172 1.4261153 0.1368253 0.0145095 0.0034966 0.0018849 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 61.64 0.0055896 0.0230677 1.4330828 0.1242745 0.0108337 0.003109 0.0019199 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 66.03 0.0050509 0.0237783 1.4554783 0.1059122 0.0083012 0.0027456 0.0015705 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 69.99 0.0046739 0.0234972 1.4287888 0.0893198 0.0064072 0.0025101 0.0015294 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 73.42 0.0046895 0.0232912 1.4795221 0.0697298 0.0055082 0.0025931 0.0021127 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 76.48 0.0045675 0.02402 1.5479739 0.0617884 0.0042712 0.0024075 0.0017296 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 79.16 0.0043145 0.0217191 1.6367213 0.0530603 0.0031969 0.002285 0.0017136 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 81.27 0.0041321 0.0228462 1.682789 0.0449097 0.0024982 0.0022197 0.001436 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 83.25 0.0037839 0.0214427 1.6911648 0.0382668 0.0020633 0.0021213 0.0013355 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 85.2 0.0036995 0.0235198 1.7337052 0.0318282 0.0016964 0.0019573 0.0012385 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
