128 1 1 0.0 0.0 2.66 0.1914034 0.0742018 1.4389036 -13.2785105 28.5949975 0.907595 0.0006023 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 1 1 0.0 0.0 5.11 0.0431697 0.0695081 1.443722 0.2363199 5.87128 0.1357738 0.0272965 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 1 1 0.0 0.0 7.28 0.0166206 0.0697383 1.545422 1.6116934 2.8474978 0.0298379 0.0092899 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 9.34 0.012149 0.0622634 1.6193898 1.5803059 1.8981926 0.0139957 0.0039731 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 1 1 0.0 0.0 11.09 0.0105015 0.0603363 1.5205526 1.2552663 1.0834417 0.0110084 0.0036479 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 12.67 0.0100809 0.0586872 1.6261665 1.1321404 0.9988878 0.0101527 0.0033196 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 14.08 0.0086497 0.0616385 1.54565 0.8208848 0.4045151 0.0086968 0.0020621 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 15.34 0.0070054 0.0592646 1.5819402 0.7063833 0.2904993 0.0085701 0.0014107 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 16.49 0.0062777 0.0547924 1.653336 0.6329287 0.2746596 0.0070153 0.0010999 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 17.51 0.0060267 0.0593099 1.8879942 0.5440735 0.2091631 0.0063146 0.0009787 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 2 2 0.0 0.0 18.4 0.0056391 0.0576794 1.8437498 0.4648124 0.1677408 0.0058442 0.0008595 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 2 2 0.0 0.0 19.2 0.0051182 0.0605237 2.0361104 0.429307 0.1658993 0.0055238 0.0008928 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 2 2 0.0 0.0 19.82 0.0050053 0.0602837 1.9631743 0.3087582 0.071803 0.0052712 0.0008258 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 2 2 0.0 0.0 20.37 0.0047431 0.0596054 2.1900323 0.2998704 0.0882433 0.0048549 0.0007821 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 2 2 0.0 0.0 20.88 0.0050224 0.0571743 1.837148 0.2169214 0.0404838 0.0047895 0.0015048 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 3 3 0.0 0.0 21.31 0.0047414 0.0570992 1.9160533 0.1762563 0.030966 0.0047156 0.000746 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 3 3 0.0 0.0 21.77 0.0045389 0.0618743 1.7298475 0.1529599 0.028408 0.004686 0.0006427 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
