128 0 0 0.0 0.0 2.93 0.1819375 0.0747837 1.4359881 -13.1167988 28.4570618 0.9106951 0.0015256 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 5.54 0.0888524 0.0574042 1.3082148 -1.9049382 5.584347 0.2793171 0.0863284 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 7.9 0.0596161 0.0461305 1.3641105 0.0529811 4.5021388 0.1648321 0.1121078 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 0 0 0.0 0.0 9.99 0.0452611 0.039557 1.4664716 0.7820057 4.0623151 0.1104071 0.0864212 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 0 0 0.0 0.0 11.83 0.035932 0.0364652 1.4551303 1.0217762 3.6342208 0.0877016 0.0784742 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 0 0 0.0 0.0 13.53 0.028725 0.0342463 1.4338782 1.3158549 3.5323357 0.0651148 0.0631125 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 15.01 0.0223002 0.0329722 1.447233 1.1828902 1.9686094 0.0485985 0.0342794 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 16.31 0.0181532 0.0312567 1.501398 1.0033818 1.4893463 0.0399035 0.0313942 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 1 1 0.0 0.0 17.53 0.0159971 0.0330661 1.459123 0.8828573 1.1452385 0.0365681 0.032943 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 1 1 0.0 0.0 18.74 0.0135184 0.0281291 1.5006235 0.8892556 0.8847785 0.0306012 0.0236566 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 2 2 0.0 0.0 19.73 0.0135209 0.0301286 1.4519795 0.7322084 0.7340706 0.0273018 0.0301474 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 2 2 0.0 0.0 20.64 0.0115785 0.0290863 1.4938864 0.6359392 0.5494653 0.025842 0.0274123 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 2 2 0.0 0.0 21.51 0.009787 0.0277546 1.4871965 0.6933686 0.5835118 0.0210971 0.0188512 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 2 2 0.0 0.0 22.22 0.0087134 0.0298826 1.5465385 0.6187576 0.4314691 0.0179312 0.015086 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 2 2 0.0 0.0 22.89 0.0075461 0.0308885 1.5360624 0.5210717 0.2889556 0.0149031 0.0125177 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 2 2 0.0 0.0 23.54 0.0073927 0.0274431 1.5029034 0.4042172 0.2011108 0.0163556 0.01317 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 2 2 0.0 0.0 24.1 0.0073934 0.0256715 1.4695644 0.3579064 0.1848647 0.0149963 0.0126033 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 2 2 0.0 0.0 24.6 0.007927 0.0261672 1.4706714 0.3011014 0.1718798 0.0170157 0.0152188 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 3 3 0.0 0.0 24.98 0.007702 0.0261053 1.5761095 0.266792 0.1574193 0.016779 0.0189777 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
