3584 4 4 0.0 0.0 22.39 0.0034028 0.148253 105.0926826 0.8236679 0.1524701  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 5 5 0.0 0.0 22.54 0.0033429 -0.3456908 90.3902112 0.8127293 0.155565  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 5 5 0.0 0.0 22.69 0.0033029 -0.7999258 80.9304447 0.8099551 0.1565353  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 5 5 0.0 0.0 22.79 0.003239 -0.4240836 80.7159077 0.7936905 0.1615792  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 5 5 0.0 0.0 22.88 0.0031998 -0.1911077 88.2444664 0.7872869 0.1635155  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 5 5 0.0 0.0 22.96 0.0031418 -0.1599686 82.7888906 0.7754262 0.1653283  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 5 5 0.0 0.0 23.02 0.0030921 -0.0312664 79.7836256 0.7666245 0.1686644  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 5 5 0.0 0.0 23.02 0.0031005 0.2349032 80.4707187 0.7565425 0.1712425  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 5 5 0.0 0.0 23.02 0.003017 -0.4442543 69.8956169 0.7549233 0.1696615  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 6 6 0.0 0.0 23.07 0.0030628 0.4710219 87.5369109 0.7379829 0.1728511  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 6 6 0.0 0.0 23.1 0.0029903 0.5896673 91.3128319 0.7329467 0.1763593  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 6 6 0.0 0.0 23.13 0.0029064 -0.1589548 73.3344078 0.7311712 0.1746743  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 6 6 0.0 0.0 23.16 0.0028642 -0.0051752 80.9781073 0.7323391 0.1730859  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 6 6 0.0 0.0 23.19 0.0028317 -0.0015341 69.5447654 0.7066158 0.1762904  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 6 6 0.0 0.0 23.2 0.0027249 -0.0344018 61.7216667 0.6977454 0.1768701  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 6 6 0.0 0.0 23.23 0.0026728 0.5127251 71.2280915 0.6842227 0.1749872  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 6 6 0.0 0.0 23.2 0.0026552 0.497149 65.0648753 0.6770108 0.1740527  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 7 7 0.0 0.0 23.23 0.0025658 0.6980758 80.6008041 0.6784187 0.1715188  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 7 7 0.0 0.0 23.26 0.0025224 0.4038837 60.3304298 0.648032 0.1714387  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 7 7 0.0 0.0 23.28 0.0024934 -0.1765957 51.6757786 0.6535136 0.1712689  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 7 7 0.0 0.0 23.29 0.0024424 0.4355754 63.9451803 0.6429248 0.1714653  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 7 7 0.0 0.0 23.39 0.0023965 0.5621757 55.30334 0.6180759 0.1685139  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 7 7 0.0 0.0 23.44 0.0023919 0.4285069 55.9518678 0.611494 0.1683827  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
