2944 3 3 0.0 0.0 23.59 0.0172286 0.0169479 1.7695584 0.0446139 0.0664094 0.0197035 0.0072169 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 3 3 0.0 0.0 24.0 0.0169518 0.0147421 1.7603822 0.0508153 0.0622252 0.0189829 0.0081272 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 3 3 0.0 0.0 24.38 0.0176888 0.0149007 1.8779923 0.045108 0.0554303 0.0186412 0.0088294 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 3 3 0.0 0.0 24.75 0.0187662 0.0151508 1.8225056 0.0439369 0.0661892 0.0195597 0.0099644 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 3 3 0.0 0.0 25.1 0.0174432 0.0133051 1.7258717 0.0305108 0.0620461 0.0194724 0.0097353 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 4 4 0.0 0.0 25.28 0.0171136 0.0119388 1.7152244 0.0138567 0.0523126 0.0189608 0.0095416 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 4 4 0.0 0.0 25.48 0.0166465 0.0123249 1.7142231 0.0231729 0.0585388 0.0180161 0.0082605 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 4 4 0.0 0.0 25.69 0.0143454 0.0177895 1.7636687 0.1299758 0.1149454 0.0141589 0.0060428 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 4 4 0.0 0.0 25.81 0.0145088 0.0154984 1.7357289 0.0063825 0.0341707 0.0156358 0.0068985 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 4 4 0.0 0.0 25.79 0.0147497 0.0142676 1.9057932 -0.0224258 0.0316446 0.0166746 0.0066286 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 4 4 0.0 0.0 25.8 0.0149082 0.0138208 1.8798152 -0.0295759 0.0282679 0.0169507 0.0060243 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 4 4 0.0 0.0 25.93 0.0148835 0.013074 1.8621998 0.0004911 0.0376322 0.0157268 0.0066237 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 4 4 0.0 0.0 26.07 0.0150354 0.0134197 1.7799333 -0.001301 0.0344686 0.0162198 0.0072065 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 5 5 0.0 0.0 26.19 0.0144814 0.0124648 1.8129977 -0.0067176 0.036424 0.0161871 0.0072875 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 5 5 0.0 0.0 26.27 0.0147638 0.011514 1.8909095 0.0040465 0.0312856 0.0158198 0.0075393 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 5 5 0.0 0.0 26.25 0.0129652 0.0195904 2.1116816 0.0398359 0.0805481 0.0139146 0.0078773 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 5 5 0.0 0.0 26.29 0.0138773 0.0147939 1.9726727 -0.0359858 0.0299112 0.0168499 0.009069 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 5 5 0.0 0.0 26.28 0.0139916 0.0127652 1.9700397 -0.014166 0.0284904 0.0153726 0.0087137 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 5 5 0.0 0.0 26.27 0.0135344 0.0137445 1.8594239 -0.0066735 0.0322455 0.0149783 0.0081938 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 5 5 0.0 0.0 26.27 0.0144549 0.0123299 1.8002903 -0.0068184 0.0410507 0.0154195 0.0088741 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 5 5 0.0 0.0 26.25 0.0142252 0.01214 1.8054479 -0.0104673 0.0288273 0.0156215 0.0096425 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 6 6 0.0 0.0 26.27 0.0141563 0.0124309 1.836275 -0.0114571 0.0293004 0.0153834 0.0089678 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 6 6 0.0 0.0 26.27 0.0132166 0.0143147 1.7916937 0.1007462 0.0838101 0.0131188 0.0067537 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 6 6 0.0 0.0 26.27 0.01196 0.0162708 1.8103932 -0.0253601 0.0238889 0.01374 0.0052432 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 6 6 0.0 0.0 26.26 0.0125833 0.0123233 1.7311511 -0.0064012 0.0209143 0.013326 0.0057316 0.0 0.0 0.0  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
