3584 4 4 0.0 0.0 21.59 0.0184398 -0.7104422 113.7447157 0.9984776 0.0145811  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 4 4 0.0 0.0 21.77 0.0180659 -0.650697 118.5065003 0.9984781 0.0135312  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 4 4 0.0 0.0 21.89 0.0172329 0.009312 156.2876977 0.9972749 0.0202065  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 4 4 0.0 0.0 21.99 0.0170126 -1.6103101 103.1785918 0.9980817 0.0163422  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 4 4 0.0 0.0 22.1 0.0174364 -1.8370669 90.2547717 0.9991972 0.0074654  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 4 4 0.0 0.0 22.26 0.0167886 -1.8331971 88.5495939 0.9983641 0.0145391  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 4 4 0.0 0.0 22.33 0.016325 -1.8376977 90.1061692 0.9986312 0.0132461  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 4 4 0.0 0.0 22.39 0.0157402 -1.5137793 104.0756026 0.9979161 0.015835  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 5 5 0.0 0.0 22.43 0.0151783 -1.2330569 106.8174922 0.9985291 0.0128378  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 5 5 0.0 0.0 22.45 0.0148486 -1.0980659 111.6734866 0.9978788 0.0164307  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 5 5 0.0 0.0 22.48 0.0136697 -0.9415246 127.2540291 0.9980438 0.0143092  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 5 5 0.0 0.0 22.52 0.0136892 -0.7565358 121.833539 0.9969766 0.0206189  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 5 5 0.0 0.0 22.55 0.0136759 -1.2979159 95.9796189 0.9972917 0.0203688  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 5 5 0.0 0.0 22.59 0.0137908 -1.398543 91.7948098 0.9985955 0.0126955  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 5 5 0.0 0.0 22.6 0.013227 -1.2585905 100.9282926 0.9975736 0.0200005  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 6 6 0.0 0.0 22.63 0.0130523 -1.0264553 118.4948614 0.9975263 0.0205669  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 6 6 0.0 0.0 22.69 0.0130018 -0.644416 116.4418836 0.9952033 0.0319953  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 6 6 0.0 0.0 22.72 0.0125962 1.7963959 205.4342884 0.9905292 0.0423323  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 6 6 0.0 0.0 22.77 0.0116944 -0.6582207 112.5338074 0.9966693 0.0249625  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 6 6 0.0 0.0 22.82 0.0114088 -0.4940703 118.6500729 0.9947285 0.0340858  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 6 6 0.0 0.0 22.88 0.0113339 -0.7678829 104.6488732 0.9960718 0.0303777  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 6 6 0.0 0.0 22.94 0.0111254 -0.4798791 107.8424648 0.9950671 0.0348247  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 6 6 0.0 0.0 22.97 0.0112608 -0.9169095 107.5727086 0.9957687 0.0340636  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 7 7 0.0 0.0 23.03 0.0108773 -0.5957968 111.1943496 0.9928086 0.0426576  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 7 7 0.0 0.0 23.11 0.010864 -0.6671227 116.5928852 0.9940078 0.0404951  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 7 7 0.0 0.0 23.12 0.0101241 1.49133 180.9341217 0.9871086 0.0586083  {'prev_level_seed': 1259048185, 'prev_level_complete': 0, 'level_seed': 1259048185, 'raw_score': 0.0, 'normalised_score': 0.0} 
