128 1 1 0.0 0.0 2.25 0.1802902 0.0721501 1.5335039 -13.0839542 28.0099661 0.9071722 0.0024766 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 1 1 0.0 0.0 4.24 0.0785948 0.0563723 1.2752083 0.5373518 4.524889 0.1179874 0.0223151 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 1 1 0.0 0.0 6.01 0.0460408 0.044402 1.2143485 1.5459131 2.0704417 0.0361874 0.0214851 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 2 2 0.0 0.0 7.62 0.0326374 0.0430332 1.2379634 1.3870834 1.386158 0.0199403 0.0195933 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 2 2 0.0 0.0 9.23 0.0219195 0.0427964 1.3028271 1.2518088 0.9727669 0.0122149 0.0133663 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 2 2 0.0 0.0 11.2 0.0176153 0.0416681 1.3385685 1.062051 0.8359437 0.0095229 0.0136375 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 2 2 0.0 0.0 13.02 0.0119796 0.04634 1.3280318 0.8996854 0.4884062 0.0067237 0.0085825 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 14.54 0.0109448 0.0414781 1.3124825 0.7217448 0.3179048 0.0062344 0.0062276 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 15.82 0.0096254 0.0399154 1.3060453 0.6135672 0.2700649 0.0057992 0.0048201 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 17.06 0.0089992 0.037594 1.2924092 0.5355376 0.2074947 0.0046131 0.0054429 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 2 2 0.0 0.0 18.23 0.007869 0.0395913 1.3093745 0.4471817 0.1367636 0.0041004 0.0041026 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 3 3 0.0 0.0 19.36 0.007653 0.0390454 1.396084 0.3860281 0.1061402 0.0038566 0.0045026 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 3 3 0.0 0.0 20.4 0.0064379 0.0366948 1.4109267 0.3172079 0.0740462 0.0033114 0.0033964 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 3 3 0.0 0.0 21.23 0.006982 0.0327781 1.3476675 0.2765827 0.065802 0.00408 0.0046708 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 3 3 0.0 0.0 22.08 0.0064529 0.0362984 1.4255603 0.2298448 0.0416634 0.0031622 0.0034456 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 3 3 0.0 0.0 22.75 0.006966 0.0338781 1.382026 0.1859598 0.0323136 0.0039215 0.0066637 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 3 3 0.0 0.0 23.31 0.0074687 0.0331033 1.3392705 0.1570502 0.0253268 0.0037613 0.0044748 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 3 3 0.0 0.0 23.81 0.0060291 0.0295299 1.3753765 0.1282259 0.0199693 0.0036557 0.0038151 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 3 3 0.0 0.0 24.32 0.0063096 0.0296963 1.3215048 0.11365 0.0165165 0.0031872 0.0035525 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 4 4 0.0 0.0 24.79 0.0070989 0.0243235 1.3273384 0.0916233 0.0132795 0.0035606 0.0037947 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 4 4 0.0 0.0 25.03 0.0065489 0.0268964 1.3130943 0.0785527 0.0099033 0.0030848 0.0032897 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 4 4 0.0 0.0 25.29 0.0082294 0.0258111 1.3736127 0.0522077 0.0131199 0.0044745 0.0081466 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 6 6 0.0 0.0 25.55 0.0081529 0.0231908 1.3287402 0.0447406 0.012428 0.0043784 0.0067036 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 6 6 0.0 0.0 25.81 0.0085349 0.022779 1.3981915 0.0245234 0.0100386 0.004575 0.0081837 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 7 7 0.0 0.0 26.08 0.0071346 0.0218516 1.4039375 0.0294775 0.0073616 0.0036971 0.005162 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 8 8 0.0 0.0 26.24 0.0070142 0.0227632 1.373199 0.03054 0.0049195 0.0035517 0.0065809 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 9 9 0.0 0.0 26.33 0.0061235 0.0206846 1.4570816 0.0274538 0.0035401 0.003074 0.0029661 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 10 10 0.0 0.0 26.47 0.0069239 0.0198232 1.4417292 0.0141722 0.0117401 0.0038744 0.0068915 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 10 10 0.0 0.0 26.53 0.0083815 0.0187241 1.3619635 0.0062776 0.0152888 0.0045421 0.0096079 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 11 11 0.0 0.0 26.56 0.0071691 0.0183122 1.4517734 0.018382 0.0132649 0.0038743 0.0061107 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 12 12 0.0 0.0 26.57 0.0070984 0.0207541 1.4662163 0.0154692 0.009048 0.0036753 0.0053384 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 13 13 0.0 0.0 26.49 0.0057643 0.0206937 1.4568051 0.0121279 0.0097216 0.0030222 0.0035914 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 14 14 0.0 0.0 26.47 0.0069776 0.0180999 1.395989 0.0097285 0.0102064 0.0039853 0.0073543 0.0 0.0 0.0  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
