3840 1 1 3.0 0.1 51.84 0.0049489 0.038154 1.778577 0.0026923 0.0057242 0.0025099 0.0008669 0.0 97.6867983 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
3968 1 1 3.0 0.1 53.14 0.0049411 0.0367136 1.7377134 0.0060339 0.0050341 0.0025839 0.0007741 0.0 97.6647318 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4096 1 1 3.0 0.1 51.22 0.0053904 0.0403403 1.7906945 -0.008875 0.006472 0.0024576 0.0007869 0.0 97.0521381 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4224 1 1 3.0 0.1 52.11 0.0049144 0.041209 1.9873696 -0.0385075 0.0078508 0.0036231 0.0013028 0.0 97.0943017 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4352 1 1 3.0 0.1 51.86 0.0049864 0.041304 1.9584848 -0.0387275 0.0124356 0.0027207 0.0010745 0.0 96.9435474 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4480 1 1 3.0 0.1 51.3 0.0050239 0.0423598 1.8928835 -0.0438032 0.0124249 0.0028042 0.0009734 0.0 97.019053 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4608 1 1 3.0 0.1 51.96 0.0047455 0.0397516 1.998017 -0.0578333 0.0120402 0.0026642 0.0009149 0.0 97.2424816 0.0  {'room_id': 1, 'explored_rooms': 3, 'raw_score': 3.0} 
4736 1 1 3.0 0.1 52.11 0.0051718 0.0390301 2.3733577 -0.0411708 0.015564 0.0023081 0.0008416 0.0 97.5775323 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
4864 1 1 3.0 0.1 52.24 0.0046207 0.0379898 2.3321386 -0.030355 0.0117194 0.0023901 0.0008132 0.0 97.7835903 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': 3.0} 
4992 1 1 3.0 0.1 52.25 0.0045365 0.0364945 2.1852068 -0.0307797 0.0082471 0.002633 0.0010198 0.0 97.4568097 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5120 1 1 3.0 0.1 51.64 0.0043979 0.0374176 2.3817787 -0.0230484 0.0068687 0.0022631 0.0008098 0.0 97.5409156 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5248 1 1 3.0 0.1 50.71 0.0043195 0.0370373 2.455685 -0.0238642 0.0080223 0.0022739 0.0008346 0.0 97.351744 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5376 1 1 3.0 0.1 51.97 0.004107 0.0395222 2.4187369 -0.0418858 0.0108622 0.0021017 0.0008135 0.0 97.1453319 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': 3.0} 
5504 2 2 -87.3 0.39000000000000007 54.59 0.0043537 0.037704 2.8490426 -0.0242332 0.0046286 0.002969 0.0008038 0.0 97.3309101 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': -87.3} 
5632 2 2 -87.3 0.39000000000000007 50.62 0.0047317 0.0458612 2.6633362 -0.105816 0.0251813 0.0031744 0.0013623 0.0 96.5457386 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
5760 2 2 -87.3 0.39000000000000007 50.19 0.0051057 0.0453346 2.6764659 -0.1721729 0.036725 0.0028885 0.001038 0.0 96.2952233 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
5888 2 2 -87.3 0.39000000000000007 49.84 0.0042585 0.041557 2.474115 -0.0387841 0.0089035 0.0024447 0.0009301 0.0 96.6133686 0.0  {'room_id': 3, 'explored_rooms': 4, 'raw_score': -87.3} 
6016 2 2 -87.3 0.39000000000000007 49.94 0.0043666 0.0418317 2.3566552 -0.0376789 0.0051176 0.0022054 0.0008164 0.0 96.8299693 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6144 2 2 -87.3 0.39000000000000007 49.58 0.0042993 0.0411184 2.4474306 -0.0028036 0.0034861 0.0020089 0.0007979 0.0 96.5396007 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6272 2 2 -87.3 0.39000000000000007 49.52 0.0047086 0.0442538 3.225476 -0.0016028 0.003628 0.0022912 0.0008951 0.0 96.1335324 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6400 2 2 -87.3 0.39000000000000007 48.26 0.004127 0.0423511 3.2846077 -0.0002307 0.0016883 0.0023215 0.0008443 0.0 96.3393477 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6528 2 2 -87.3 0.39000000000000007 49.69 0.0040105 0.0426317 3.1073318 0.0053361 0.0015008 0.0022146 0.0008538 0.0 96.3723947 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6656 2 2 -87.3 0.39000000000000007 50.86 0.0049098 0.0435538 3.0541868 0.0097529 0.0015533 0.0020903 0.0008975 0.0 96.0923878 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6784 2 2 -87.3 0.39000000000000007 51.15 0.0045663 0.0427676 3.1609358 -0.0133242 0.0029827 0.0029332 0.0009149 0.0 96.3090836 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
6912 2 2 -87.3 0.39000000000000007 51.89 0.0052328 0.0426901 3.6820511 -0.0074117 0.0019921 0.0027647 0.0009875 0.0 96.1954987 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7040 2 2 -87.3 0.39000000000000007 50.24 0.0049255 0.0408252 3.4410017 0.0031287 0.0020873 0.002586 0.000937 0.0 96.7795214 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7168 2 2 -87.3 0.39000000000000007 51.07 0.0050671 0.0431814 4.0381515 0.0013012 0.0024775 0.002528 0.0009416 0.0 96.7723702 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7296 2 2 -87.3 0.39000000000000007 51.04 0.0057886 0.0445305 4.7751642 -0.0157901 0.0045074 0.0029978 0.0011273 0.0 96.5205711 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7424 2 2 -87.3 0.39000000000000007 51.21 0.0060004 0.0412595 4.0412118 -0.0342134 0.0093535 0.0026488 0.0010254 0.0 96.8187873 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7552 2 2 -87.3 0.39000000000000007 51.88 0.0046295 0.0384988 4.2440749 -0.0225938 0.0053341 0.0026747 0.0009374 0.0 97.180793 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7680 2 2 -87.3 0.39000000000000007 51.98 0.0046884 0.0375683 4.6421768 0.011471 0.001767 0.0019609 0.0006928 0.0 96.9417827 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7808 2 2 -87.3 0.39000000000000007 53.51 0.0041654 0.0351791 4.1464045 0.0033509 0.001918 0.0021434 0.0008788 0.0 97.3108518 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
7936 2 2 -87.3 0.39000000000000007 51.67 0.004028 0.0348162 3.7411481 0.0114729 0.0009161 0.0021207 0.0008574 0.0 97.0016696 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
8064 2 2 -87.3 0.39000000000000007 51.38 0.0043435 0.0343412 3.9577569 0.011364 0.0008973 0.002122 0.0009196 0.0 97.2829636 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -87.3} 
8192 3 3 -178.57 0.7510000000000001 54.7 0.0050402 0.0301075 4.8539036 -0.0390652 0.0031072 0.0096342 0.0039334 0.0 98.0835673 0.0  {'room_id': 2, 'explored_rooms': 4, 'raw_score': -178.57} 
8320 3 3 -178.57 0.7510000000000001 49.71 0.0053141 0.0355824 4.666096 -0.0053769 0.0023432 0.0032411 0.0013097 0.0 97.2785106 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
8448 3 3 -178.57 0.7510000000000001 49.68 0.004969 0.035524 4.6352143 -0.0792175 0.0139237 0.0028078 0.0010259 0.0 97.0750316 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
8576 3 3 -178.57 0.7510000000000001 49.54 0.0050664 0.0361427 4.3801991 -0.0886338 0.0176936 0.0024498 0.0010781 0.0 97.2677917 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
8704 3 3 -178.57 0.7510000000000001 48.88 0.0049193 0.0391791 4.2520008 -0.067369 0.0115258 0.0024568 0.0011151 0.0 96.7225426 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
8832 3 3 -178.57 0.7510000000000001 49.74 0.004692 0.0361263 4.1828446 -0.0527043 0.010695 0.0026091 0.0010518 0.0 97.0260263 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
8960 3 3 -178.57 0.7510000000000001 49.26 0.0047828 0.0384308 3.6738261 -0.025887 0.0093251 0.0026396 0.0011018 0.0 96.6281084 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9088 3 3 -178.57 0.7510000000000001 48.29 0.0050221 0.0386911 3.8054735 -0.0246838 0.0047153 0.0027406 0.000981 0.0 96.4577826 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9216 3 3 -178.57 0.7510000000000001 50.31 0.0050478 0.0366498 4.4379316 -0.0235057 0.0083285 0.0022778 0.0009088 0.0 96.8778647 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9344 3 3 -178.57 0.7510000000000001 50.59 0.0050404 0.0395398 4.637679 -0.0436431 0.0109358 0.003276 0.0011604 0.0 96.616479 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9472 3 3 -178.57 0.7510000000000001 52.17 0.0044704 0.0376752 3.9911018 0.001866 0.0075245 0.0023594 0.0009309 0.0 96.5948109 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9600 3 3 -178.57 0.7510000000000001 51.12 0.0051814 0.040089 3.9728603 -0.0213616 0.0072725 0.002949 0.0022952 0.0 96.2510533 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9728 3 3 -178.57 0.7510000000000001 52.61 0.0050839 0.0382894 4.6043689 -0.0153028 0.0078108 0.0029282 0.00127 0.0 96.6252965 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9856 3 3 -178.57 0.7510000000000001 53.35 0.0053149 0.0391818 4.1558447 0.0096016 0.0049097 0.0027364 0.0010549 0.0 96.1887878 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
9984 3 3 -178.57 0.7510000000000001 53.54 0.0055731 0.0386071 4.2488626 0.0096975 0.0039062 0.0028117 0.0014969 0.0 96.580557 0.0  {'room_id': 1, 'explored_rooms': 4, 'raw_score': -178.57} 
