128 0 0 0.0 0.0 6.1 0.0772932 0.1284769 1.9884095 -2.5776702 0.7482267 0.1728222 0.0036265 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 11.46 0.0280426 0.0909222 1.1551075 0.0213846 0.1230353 0.0247653 0.0045328 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 16.53 0.0175614 0.0762573 1.1489812 0.3055722 0.0791488 0.0065586 0.002586 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 21.87 0.0134674 0.0716301 1.1254621 0.2851544 0.0516719 0.0038844 0.0018591 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 27.02 0.0113346 0.0664226 1.1466975 0.2427339 0.0360928 0.0034599 0.0017256 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 32.08 0.0091344 0.0598572 1.103295 0.2140194 0.029028 0.0026293 0.0013126 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 37.66 0.0081072 0.0563665 1.2131169 0.1778232 0.018983 0.0022476 0.0010498 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 43.38 0.0074186 0.054742 1.2462373 0.1426043 0.0127517 0.0021752 0.0009787 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 48.8 0.0064854 0.0522041 1.2476312 0.1228781 0.0094346 0.0017144 0.0009018 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 53.8 0.0059195 0.0490384 1.2186769 0.10035 0.0064647 0.0016731 0.0008611 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 58.68 0.0052735 0.0484093 1.3923389 0.0863945 0.0050277 0.0012993 0.0006922 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 63.33 0.0049411 0.0491454 1.5626017 0.0701673 0.0034634 0.0012392 0.00063 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
