128 0 0 0.0 0.0 10.2 0.0669994 0.1361154 1.8544762 -8.4422381 8.6736024 0.5657169 0.012518 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 19.23 0.026068 0.0884695 1.0937819 -0.0456112 1.3757234 0.087857 0.0144655 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 27.39 0.0159328 0.0721324 1.0421845 0.9937146 1.0330642 0.0248117 0.0093587 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 34.82 0.011864 0.0650149 1.1192485 0.9173519 0.5878879 0.0139843 0.0064489 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 41.66 0.0094307 0.0616512 1.0737093 0.7763254 0.4037332 0.0112421 0.0060471 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 47.81 0.0082148 0.0588761 1.1395956 0.6992693 0.2993094 0.0093278 0.0046528 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 53.11 0.0073227 0.0538294 1.182389 0.6081815 0.217499 0.0083335 0.0043471 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 57.81 0.006357 0.0507977 1.2088685 0.4763592 0.1369429 0.0081009 0.0033949 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 62.26 0.0050877 0.0470185 1.2283737 0.4162954 0.1050934 0.0060235 0.0028742 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 65.98 0.0049477 0.0459287 1.2355842 0.3486516 0.0826424 0.0051043 0.0028236 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 69.35 0.0044605 0.0473683 1.3240108 0.2951466 0.0527239 0.0045624 0.0023926 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 72.36 0.0040646 0.0451704 1.2988518 0.2382003 0.0370721 0.004454 0.0022731 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 74.88 0.0041291 0.043201 1.332223 0.1876062 0.029374 0.0041419 0.0022067 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 77.14 0.0038654 0.0417713 1.3989344 0.1700455 0.0223733 0.0037099 0.0020153 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 78.97 0.0036308 0.039538 1.3822319 0.1345164 0.0163494 0.0039146 0.0019019 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 4 4 0.0 0.0 80.4 0.0034934 0.0409582 1.4364134 0.1060459 0.0118668 0.0037805 0.0016592 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 4 4 0.0 0.0 81.54 0.0033749 0.0391114 1.4636396 0.0981906 0.0092971 0.0033465 0.0017342 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 4 4 0.0 0.0 82.74 0.0034182 0.0396487 1.5177479 0.0758949 0.0074439 0.003411 0.0016188 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 4 4 0.0 0.0 83.94 0.0030321 0.0368717 1.5923068 0.0564855 0.0058542 0.0039075 0.0017254 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 85.12 0.0030466 0.0367902 1.6144609 0.0548696 0.004781 0.0032807 0.0018057 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 86.24 0.0040704 0.0378201 1.6646176 0.0486921 0.0039508 0.0028967 0.0015849 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 87.49 0.0034016 0.0365148 1.6791651 0.0346212 0.0028927 0.0031602 0.0016385 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 88.65 0.0030508 0.0347992 1.7527096 0.0302156 0.0028902 0.0029238 0.0015808 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 89.82 0.0028646 0.033122 1.8016038 0.0222278 0.002163 0.0029829 0.0016599 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 91.01 0.0028753 0.0351343 1.7388836 0.0183259 0.0019745 0.002887 0.00204 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 5 5 0.0 0.0 92.01 0.0028764 0.0364723 1.8892027 0.0130759 0.0017026 0.002914 0.0015814 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 5 5 0.0 0.0 92.91 0.0030813 0.0345927 1.9352238 0.0098291 0.001603 0.0030785 0.0019218 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 5 5 0.0 0.0 93.67 0.0028623 0.0356465 2.0763738 0.0032363 0.0015588 0.0031968 0.0018805 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 5 5 0.0 0.0 94.78 0.0029492 0.0350308 2.1717578 0.0017384 0.0012964 0.0029632 0.0017679 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 5 5 0.0 0.0 95.68 0.0031207 0.0359073 2.2550852 0.0038815 0.0012171 0.0028583 0.0017907 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 6 6 0.0 0.0 96.62 0.0030843 0.0346706 2.1056953 -0.0049853 0.0013832 0.0033531 0.0018333 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 6 6 0.0 0.0 97.45 0.0031746 0.0349734 2.3092024 -0.0068821 0.0014008 0.0034253 0.0022581 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 6 6 0.0 0.0 98.21 0.0027562 0.0336189 2.2567853 -0.0039536 0.0012854 0.0032104 0.0019354 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 6 6 0.0 0.0 98.77 0.0027894 0.0334718 2.3772997 -0.0009543 0.0013991 0.0029311 0.0019558 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 6 6 0.0 0.0 99.32 0.0027083 0.0333946 2.5002959 0.0018934 0.001086 0.0027537 0.0015645 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 6 6 0.0 0.0 99.64 0.002675 0.0323045 2.5376991 -0.0037257 0.0011056 0.0029926 0.0017353 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 6 6 0.0 0.0 99.88 0.0028397 0.032983 2.7606524 -0.002659 0.0010724 0.0028783 0.0015075 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 6 6 0.0 0.0 100.02 0.0027079 0.0314563 2.6550299 -0.006143 0.0011139 0.0031764 0.0016519 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 7 7 0.0 0.0 100.13 0.0030704 0.0324535 2.6600783 -0.0023494 0.001224 0.0029361 0.001793 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 7 7 0.0 0.0 100.12 0.002691 0.0337257 2.544682 -0.003012 0.0011113 0.0029059 0.0018707 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 7 7 0.0 0.0 100.18 0.0028716 0.032476 2.8344946 -0.012049 0.0046207 0.0035395 0.0078567 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 8 8 0.0 0.0 100.49 0.0028947 0.0314573 3.0336056 -0.0042908 0.0029167 0.0030874 0.0027883 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 8 8 0.0 0.0 100.65 0.0026926 0.0310158 3.0048519 -0.0121909 0.0013297 0.0036072 0.0021765 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 8 8 0.0 0.0 100.59 0.0027543 0.0318557 3.440764 -0.0007999 0.0009718 0.0027455 0.0015396 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 8 8 0.0 0.0 100.88 0.0027828 0.0304932 3.4323402 -0.0100963 0.0011516 0.0032608 0.0018908 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 8 8 0.0 0.0 100.72 0.0028646 0.0302989 3.5135647 0.0004728 0.0008974 0.0025322 0.0013916 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 8 8 0.0 0.0 100.63 0.0027587 0.0309493 3.3211694 -0.0064583 0.0007935 0.0028941 0.0013876 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 9 9 0.0 0.0 100.16 0.0027165 0.0300469 3.7940493 -0.0056848 0.0008754 0.0028167 0.0016647 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 9 9 0.0 0.0 99.49 0.0026132 0.0286346 3.9066762 0.0009256 0.0008258 0.0025049 0.0014186 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 9 9 0.0 0.0 98.75 0.002592 0.0307059 3.4862189 -0.0041611 0.0008379 0.0026927 0.0014841 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 10 10 0.0 0.0 97.99 0.0026114 0.0291812 3.5777072 -0.0060352 0.0007825 0.002789 0.0014859 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 10 10 0.0 0.0 97.43 0.0026996 0.0277853 3.7864686 -0.001481 0.0007513 0.0024771 0.001351 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 10 10 0.0 0.0 97.32 0.002714 0.0269997 3.8758164 -0.0047173 0.0007209 0.0025614 0.0012174 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 10 10 0.0 0.0 97.46 0.0025631 0.0274691 4.0578024 -0.0036628 0.0006934 0.0025077 0.0012449 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7040 11 11 0.0 0.0 97.62 0.0027589 0.0281066 3.9313638 -0.0038334 0.0006452 0.0024956 0.0013115 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7168 11 11 0.0 0.0 97.79 0.002678 0.026631 4.0037397 -0.0122218 0.0006942 0.0031244 0.0013322 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7296 12 12 0.0 0.0 97.91 0.0026431 0.0272928 4.0507908 -0.004155 0.0007885 0.0027168 0.0014092 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7424 12 12 0.0 0.0 97.97 0.0027794 0.025637 4.6610824 -0.0036372 0.0008136 0.0027216 0.0012946 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7552 13 13 0.0 0.0 98.16 0.0026684 0.0257671 4.3888733 -0.0057119 0.0007422 0.0027824 0.0013938 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7680 13 13 0.0 0.0 98.16 0.0025156 0.0254939 4.3732623 -0.0004846 0.0006343 0.0023241 0.0012368 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7808 14 14 0.0 0.0 98.39 0.0026954 0.0253355 4.0440103 -0.0030372 0.000646 0.0024614 0.0013063 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7936 14 14 0.0 0.0 98.38 0.0026088 0.0250847 4.191876 -0.0069029 0.0006397 0.0026917 0.0012221 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
