128 0 0 0.0 0.0 38.06 0.0102073 1.3535779 0.2709327 -1.3231488 0.9507148 0.1075569 0.1134765 0.0 29.9107417 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 37.61 0.0120806 1.3740969 0.4235195 -0.0545523 0.2555913 0.0192673 0.0190422 0.0 40.0505241 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 38.27 0.0097215 1.3470461 0.4601569 0.1452652 0.1486259 0.007637 0.0045082 0.0 47.0910635 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 37.92 0.0093631 1.3324284 0.5606737 0.2001565 0.097103 0.0053307 0.0029081 0.0 52.7342016 0.0  {'room_id': 0, 'explored_rooms': 2, 'raw_score': 0.0} 
640 1 1 10.0 0.1 39.45 0.007987 1.3397941 0.5644653 0.369691 0.1844277 0.0047559 0.0020998 0.0 52.6741011 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 10.0} 
768 1 1 10.0 0.1 43.59 0.0067254 1.3312419 0.5252715 0.0940382 0.0694153 0.0044213 0.0034771 0.0 51.5800458 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 10.0} 
896 1 1 10.0 0.1 46.82 0.0065544 1.3046175 0.4615374 0.0894732 0.0460487 0.004078 0.0035342 0.0 61.8671557 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 10.0} 
1024 1 1 10.0 0.1 50.64 0.0058146 1.2927812 0.4449388 0.0685475 0.0319633 0.0031576 0.0018986 0.0 65.2540301 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 10.0} 
1152 1 1 10.0 0.1 50.9 0.0059366 1.2844845 0.4842864 0.1184422 0.0353236 0.0028681 0.0014558 0.0 69.9835267 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 10.0} 
1280 2 2 69.0 0.29000000000000004 50.43 0.0057102 1.3042148 0.5690404 0.0814253 0.0246941 0.0029804 0.0013592 0.0 60.7447705 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 69.0} 
1408 2 2 69.0 0.29000000000000004 50.59 0.0054467 1.2837407 0.5062752 0.0188431 0.0194042 0.0034991 0.002226 0.0 68.8931666 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 69.0} 
1536 2 2 69.0 0.29000000000000004 49.39 0.0057706 1.2677324 0.4649129 0.0232761 0.0171204 0.0031477 0.0020519 0.0 73.2177937 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 69.0} 
1664 2 2 69.0 0.29000000000000004 49.99 0.0060534 1.2582409 0.5042163 0.0069254 0.0194587 0.002901 0.0024313 0.0 77.0566066 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 69.0} 
1792 2 2 69.0 0.29000000000000004 50.94 0.0062927 1.2498365 0.5283956 0.0161187 0.0215063 0.0034685 0.0024715 0.0 76.2632523 0.0  {'room_id': 2, 'explored_rooms': 3, 'raw_score': 69.0} 
1920 3 3 137.1 0.5610000000000002 49.57 0.006616 1.2606248 0.5511097 0.0076788 0.0139784 0.0031596 0.0015022 0.0 70.0687155 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 137.1} 
2048 3 3 137.1 0.5610000000000002 49.01 0.0066307 1.2448455 0.5679984 -0.0025178 0.0131961 0.0034718 0.0018514 0.0 76.2817777 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 137.1} 
2176 3 3 137.1 0.5610000000000002 51.64 0.0076878 1.2343633 0.5945005 -0.0163344 0.0167117 0.0029493 0.001577 0.0 78.6358023 0.0  {'room_id': 0, 'explored_rooms': 3, 'raw_score': 137.1} 
