128 0 0 0.0 0.0 6.09 0.0397279 0.0609698 0.9023459 -1.0552492 0.1102611 0.0718981 0.0058075 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 11.55 0.0215659 0.0454325 1.0397811 -0.0552202 0.0197066 0.0140816 0.0042152 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 16.83 0.0147653 0.0371651 1.087446 0.086683 0.0172978 0.0056331 0.0023583 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 22.21 0.0108544 0.0307038 1.1620603 0.0917438 0.0101243 0.0036895 0.0017191 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 27.68 0.008443 0.0290591 1.2741177 0.0887916 0.0072196 0.0025996 0.0012822 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 32.88 0.0071045 0.0265382 1.4088583 0.0815802 0.0058511 0.0021262 0.0010978 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 38.64 0.0064296 0.0269828 1.4862591 0.068688 0.0038573 0.0018625 0.0010111 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 44.31 0.0056384 0.0266408 1.5998397 0.058409 0.0028228 0.0016144 0.0008885 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 49.43 0.005024 0.0248823 1.6637953 0.0470001 0.0019779 0.001441 0.0007777 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 54.28 0.0048588 0.0229795 1.7137229 0.0398198 0.0015828 0.001355 0.0010156 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 58.78 0.0043048 0.0243386 1.7298762 0.0340051 0.0011561 0.0012082 0.0007799 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 63.1 0.0040017 0.0241734 1.7998369 0.0279849 0.0008835 0.0011194 0.0007287 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 66.88 0.0040044 0.0236711 1.9038181 0.0235168 0.0006968 0.0011034 0.0006521 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 70.29 0.0037259 0.0237506 2.0053346 0.0189959 0.0005302 0.0010182 0.0006716 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 73.74 0.0034902 0.023424 2.0037875 0.0179582 0.0004915 0.0008678 0.0005148 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 76.62 0.0035185 0.0234391 2.0480037 0.014226 0.0004061 0.0009439 0.0008017 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 79.11 0.0032404 0.0238164 2.0809061 0.0119066 0.0002789 0.0009032 0.0005902 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 81.34 0.0033797 0.0233182 2.2149685 0.0086417 0.0002698 0.0009386 0.0007898 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 83.51 0.0033731 0.0236392 2.3769906 0.0068765 0.000249 0.0008512 0.0006482 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 85.37 0.003229 0.0221501 2.5041092 0.0039955 0.0001815 0.0008862 0.0005722 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 3 3 0.0 0.0 87.01 0.0032228 0.0222757 2.6965525 0.0020121 0.000558 0.0009035 0.0013219 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 88.56 0.0032453 0.0207868 2.7818346 0.0017562 0.0002171 0.0009276 0.0007547 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 89.88 0.0032061 0.021769 2.6390899 0.0015977 0.0001627 0.0008841 0.0006018 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 91.01 0.0031418 0.0214813 2.7349107 0.0004092 0.0001337 0.0008781 0.0005187 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
