128 0 0 0.0 0.0 6.13 0.0414203 0.0570487 0.9083261 -1.0316616 0.1109115 0.070142 0.0065438 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 11.62 0.0228506 0.0428853 1.0421037 -0.0537508 0.020944 0.0145012 0.0046597 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 16.89 0.014976 0.0347456 1.0981551 0.0936125 0.0184206 0.00574 0.0026388 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 22.22 0.0101643 0.031832 1.14228 0.1139526 0.0135507 0.0034823 0.0017 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 27.46 0.0084795 0.0280428 1.2299064 0.0996227 0.0086822 0.0027565 0.0017562 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 32.45 0.0070202 0.0262874 1.3134089 0.0917931 0.0069276 0.0020648 0.0011467 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 38.47 0.0061602 0.0253476 1.410533 0.0783574 0.0047563 0.0018183 0.001066 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 43.88 0.0052734 0.0263644 1.469899 0.0691536 0.0033782 0.0014855 0.0008417 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 49.17 0.0047542 0.0256689 1.5284689 0.059783 0.0027521 0.0013747 0.00082 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 54.27 0.0047311 0.0247023 1.6030882 0.0503347 0.0020248 0.0013054 0.0008608 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 58.88 0.0046671 0.0246032 1.6753435 0.0420437 0.0016246 0.0012927 0.0009022 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 63.08 0.004105 0.0224238 1.7295141 0.0365244 0.0012786 0.00115 0.0007631 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 67.04 0.003842 0.0225888 1.858844 0.0299257 0.0008704 0.0011076 0.0006658 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 70.48 0.0035653 0.0226722 1.9027802 0.0259242 0.0007014 0.0009631 0.0005895 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 73.72 0.003577 0.0224666 1.8366126 0.0213144 0.000591 0.0009267 0.0005867 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 76.66 0.0035488 0.0221783 1.8415545 0.0168331 0.0004366 0.000958 0.0006658 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 4 4 0.0 0.0 79.26 0.0034422 0.0221485 1.834694 0.0129097 0.0007141 0.0010151 0.0016135 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 4 4 0.0 0.0 81.59 0.0034582 0.022393 1.8230273 0.0096367 0.0003266 0.0009769 0.0007858 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 5 5 0.0 0.0 83.63 0.0034101 0.0215911 1.8363038 0.0059633 0.0002722 0.0009831 0.0006394 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 5 5 0.0 0.0 85.58 0.0033907 0.0210883 1.8385779 0.0075361 0.0002102 0.0008186 0.0005239 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 6 6 0.0 0.0 87.32 0.0031323 0.0195497 1.8144174 0.0043081 0.0001786 0.0009052 0.000547 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 6 6 0.0 0.0 89.05 0.0029317 0.0200253 1.9268723 0.0042869 0.0001458 0.0007777 0.0004675 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 6 6 0.0 0.0 90.6 0.0030238 0.0200402 1.9949167 0.0030117 0.0001415 0.0007446 0.0004808 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 6 6 0.0 0.0 91.66 0.0031912 0.0212488 1.9585251 0.0022859 0.0001166 0.0007564 0.0005149 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 6 6 0.0 0.0 92.77 0.0029173 0.0203691 1.9805855 0.0013115 0.0001161 0.0007394 0.0005154 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 6 6 0.0 0.0 93.94 0.0029089 0.0201742 2.0231842 6.08e-05 0.0001116 0.0007711 0.0005289 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 6 6 0.0 0.0 94.67 0.0030881 0.021111 1.9840189 -0.0002965 9.44e-05 0.0007706 0.0005184 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 6 6 0.0 0.0 95.65 0.0031193 0.0206659 1.9419039 -0.0015879 9.64e-05 0.0007911 0.0004919 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 7 7 0.0 0.0 96.2 0.0032496 0.0207539 2.0088759 -0.002039 8.68e-05 0.0007986 0.0004877 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 7 7 0.0 0.0 96.73 0.0028796 0.0203961 2.0230022 -0.0020281 8.51e-05 0.0007796 0.0005453 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 7 7 0.0 0.0 97.11 0.0029743 0.0199181 1.9435717 -0.0088178 0.0021186 0.0011058 0.0041482 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 8 8 0.0 0.0 97.51 0.0027041 0.0195039 1.9358939 -0.0016338 0.0002525 0.0007274 0.0006772 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 8 8 0.0 0.0 97.87 0.0027247 0.0187496 1.994813 -0.0025071 8.48e-05 0.0007452 0.0004773 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 8 8 0.0 0.0 98.11 0.0027709 0.0170761 1.9986648 -0.0028304 8.38e-05 0.0007735 0.000433 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 9 9 0.0 0.0 98.13 0.0026574 0.0172248 1.9928644 -0.0015415 7.34e-05 0.0006739 0.0004253 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 9 9 0.0 0.0 98.02 0.0026274 0.0170751 1.9555773 -0.0042472 7.43e-05 0.0008248 0.0004111 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 9 9 0.0 0.0 97.7 0.0024775 0.0173751 1.9572409 -0.0040357 0.000567 0.000676 0.000473 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 9 9 0.0 0.0 97.42 0.0024608 0.0171418 1.9657888 -0.0029906 0.0001382 0.0007044 0.0004452 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 9 9 0.0 0.0 96.97 0.0025876 0.0167988 1.9915352 -0.0063878 0.0005543 0.0006958 0.00047 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 10 10 0.0 0.0 96.87 0.0025817 0.0167398 2.1179721 -0.005044 0.0003447 0.000769 0.0005166 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 10 10 0.0 0.0 96.87 0.0025191 0.0164013 2.1105635 -0.0062368 0.0004607 0.0007666 0.0012139 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 10 10 0.0 0.0 97.06 0.0024551 0.0172133 2.1563906 -0.0040158 0.0003656 0.0007261 0.000441 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 10 10 0.0 0.0 97.32 0.0024579 0.0167513 2.2225307 -0.0046516 0.000121 0.0006801 0.0003857 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 10 10 0.0 0.0 97.78 0.0024478 0.0151957 2.2790944 -0.0059083 0.0003306 0.0006749 0.0004863 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 10 10 0.0 0.0 98.19 0.0023803 0.0174877 2.153252 -0.0021646 0.0001585 0.0006033 0.0003931 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 11 11 0.0 0.0 98.11 0.0027508 0.0169596 2.239352 -0.0080008 0.0003254 0.0006818 0.0004692 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 11 11 0.0 0.0 98.03 0.0027626 0.0147135 2.3401848 -0.0033253 0.000208 0.0006217 0.000374 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
