128 3 3 0.0 0.0 2.2 0.1618932 0.0692263 1.3494965 -10.6509001 31.6848921 0.9106056 0.0030101 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 7 7 0.0 0.0 4.1 0.072432 0.0610446 1.2425744 0.0557739 13.6386106 0.251218 0.1116691 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 8 8 0.0 0.0 5.8 0.0392022 0.0539962 1.2545382 1.3203524 6.9787137 0.1020183 0.0702408 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 12 12 0.0 0.0 7.41 0.0242301 0.0573576 1.2720533 1.3320516 3.8366575 0.0547217 0.0406273 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 12 12 0.0 0.0 8.87 0.0141371 0.0646088 1.2796261 0.8795524 1.5216853 0.0307111 0.0238788 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 12 12 0.0 0.0 10.71 0.0102332 0.0674031 1.497479 0.7553357 0.8432483 0.0214447 0.0215773 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 12 12 0.0 0.0 12.35 0.0072174 0.0689625 1.3385863 0.6205939 0.3373713 0.0153064 0.018435 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 12 12 0.0 0.0 13.81 0.006013 0.0662979 1.2631654 0.5558556 0.259402 0.0128844 0.0174657 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 12 12 0.0 0.0 15.12 0.0052003 0.0649978 1.2969503 0.5047372 0.2044923 0.0108194 0.0145692 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 12 12 0.0 0.0 16.24 0.004716 0.0616596 1.2712644 0.4092165 0.1393226 0.0100105 0.0149019 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 12 12 0.0 0.0 17.2 0.0055136 0.0550378 1.272497 0.3702739 0.1801775 0.012339 0.0178459 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 13 13 0.0 0.0 18.1 0.0067855 0.0484066 1.4558276 0.3586619 0.2479624 0.0141343 0.0212529 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 13 13 0.0 0.0 18.85 0.0053931 0.0463911 1.2966902 0.3188416 0.1783909 0.0111841 0.0150802 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 13 13 0.0 0.0 19.55 0.0056609 0.0484633 1.3787162 0.216388 0.1075937 0.0115829 0.0153129 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 13 13 0.0 0.0 20.2 0.0043904 0.0544086 1.3355318 0.1523877 0.0685119 0.011275 0.0117026 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 13 13 0.0 0.0 20.87 0.0037676 0.0510245 1.4124432 0.1459884 0.0450968 0.0083608 0.01154 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 14 14 0.0 0.0 21.44 0.0042691 0.0485535 1.3438028 0.1214788 0.0396031 0.0081427 0.0113185 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 14 14 0.0 0.0 21.99 0.0053732 0.0423079 1.3406707 0.0601442 0.0473865 0.0121911 0.0144036 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 14 14 0.0 0.0 22.53 0.0053252 0.0390227 1.2992835 0.0979458 0.0567655 0.0119125 0.0136328 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 14 14 0.0 0.0 22.97 0.0048795 0.0362453 1.3043636 0.080658 0.0470499 0.0106511 0.0126424 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 14 14 0.0 0.0 23.4 0.0050276 0.0358827 1.2286614 0.0332725 0.0378089 0.0118214 0.0130293 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 14 14 0.0 0.0 23.81 0.0056064 0.0371781 1.2461761 0.0639677 0.0457409 0.0105111 0.0123284 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 14 14 0.0 0.0 24.1 0.0055081 0.0341385 1.3071333 0.0310522 0.0289211 0.0108591 0.0113304 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 15 15 0.0 0.0 24.41 0.0052098 0.0360904 1.3349324 0.0177192 0.027718 0.0109505 0.0102286 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 15 15 0.0 0.0 24.75 0.0050294 0.0341415 1.4242338 0.0034352 0.0216563 0.0106311 0.0105389 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 15 15 0.0 0.0 25.03 0.0046871 0.0349809 1.4186548 0.0184202 0.020752 0.0098246 0.0104753 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 15 15 0.0 0.0 25.28 0.0044782 0.030807 1.3887644 0.0075869 0.0178827 0.0097076 0.0090382 0.0 0.0 0.0  {'prev_level_seed': 1434825276, 'prev_level_complete': 0, 'level_seed': 1434825276, 'raw_score': 0.0, 'normalised_score': 0.0} 
