128 0 0 0.0 0.0 2.13 0.127812 0.0708087 1.5429487 -11.8010566 23.2301774 0.8148936 0.0286759 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 3.99 0.0272407 0.0666055 1.5012166 0.9408063 4.641333 0.0720325 0.0071255 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 5.6 0.0138345 0.0674165 1.5254569 1.6037077 2.0501791 0.009067 0.0035484 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 7.07 0.0117306 0.0632933 1.5168072 1.3899373 1.1569133 0.0034352 0.0016795 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 1 1 0.0 0.0 8.59 0.0088132 0.0589413 1.3815642 1.0902087 0.6000467 0.0027183 0.0012996 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 10.26 0.0077601 0.0601038 1.4791714 1.0349332 0.6545879 0.0020288 0.0005028 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 11.99 0.0070155 0.0646252 1.6343225 0.8312348 0.3709155 0.0018455 0.0003749 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 13.58 0.0059232 0.0549776 1.6379066 0.7000197 0.2711341 0.0015696 0.0002889 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 1 1 0.0 0.0 14.9 0.0057526 0.0550302 1.918771 0.5983136 0.2084184 0.0014231 0.0002939 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 1 1 0.0 0.0 16.06 0.0055542 0.0605524 1.9352138 0.5042811 0.1563014 0.0012791 0.0002506 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 1 1 0.0 0.0 17.14 0.0056747 0.0641808 2.0528022 0.3989863 0.0976011 0.0013436 0.0002482 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
