128 0 0 0.0 0.0 7.61 0.0431093 0.0560528 0.9310821 -2.2942459 0.5506879 0.1545939 0.0116148 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 14.33 0.0229778 0.0424311 1.0492989 -0.1061633 0.1091296 0.0308864 0.0101654 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 21.31 0.0155445 0.0353343 1.1759018 0.1963018 0.0769998 0.0117589 0.0048198 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 29.49 0.0109715 0.030802 1.2599488 0.2558102 0.0676114 0.0074351 0.0034743 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 36.78 0.0085896 0.0289767 1.3543101 0.2118679 0.037911 0.0052525 0.0028202 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 43.33 0.0068916 0.0277388 1.4481337 0.1908901 0.0243366 0.0041355 0.0022821 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 49.44 0.0066132 0.0259813 1.5230083 0.1643329 0.0219501 0.0039522 0.0031755 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 55.0 0.0057058 0.0267144 1.5383571 0.1411359 0.015384 0.0032362 0.0019946 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 59.84 0.0050567 0.0253595 1.5834018 0.1189212 0.0104938 0.0029403 0.0016318 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 64.18 0.0048845 0.0243566 1.6067956 0.0994496 0.0076017 0.0027008 0.0015965 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 68.22 0.0044741 0.0247575 1.7219229 0.0809881 0.0056661 0.0024962 0.0018858 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 71.52 0.004176 0.0229696 1.8023143 0.0659299 0.0044287 0.0023298 0.0018375 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 74.59 0.0038995 0.0228167 1.7521365 0.058119 0.0035325 0.0021171 0.0016031 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 77.24 0.0037467 0.0236388 1.7524179 0.0467949 0.0026236 0.0021222 0.0015127 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 79.5 0.0042477 0.0239254 1.8847465 0.0388731 0.002128 0.0020895 0.0015874 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 2 2 0.0 0.0 81.5 0.0038059 0.0241605 1.9296585 0.0320205 0.001768 0.0019504 0.0015199 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 2 2 0.0 0.0 83.09 0.0034554 0.0246668 1.8868436 0.0271738 0.0014165 0.0019442 0.0014062 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 2 2 0.0 0.0 84.65 0.0040427 0.0238621 1.927518 0.021998 0.0013366 0.0019375 0.0015361 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 2 2 0.0 0.0 86.0 0.0037442 0.0233085 1.9193877 0.0110022 0.0011225 0.0023987 0.0014151 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 2 2 0.0 0.0 87.0 0.0034843 0.0219526 1.916543 0.0099316 0.0010122 0.0023182 0.0012712 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 2 2 0.0 0.0 87.62 0.0038331 0.0230534 2.018938 0.0133389 0.0009069 0.0018861 0.0013439 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 2 2 0.0 0.0 88.25 0.0034285 0.0233218 2.0930901 0.0095962 0.00083 0.0019413 0.0013364 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 2 2 0.0 0.0 88.86 0.0035551 0.0222053 1.9649939 0.00856 0.0007042 0.0017951 0.0011747 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 2 2 0.0 0.0 89.68 0.0034725 0.0211368 1.9399711 0.0027843 0.0008835 0.0021017 0.0017684 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 2 2 0.0 0.0 90.37 0.0033127 0.0208481 1.9657608 0.0042916 0.0005913 0.0018491 0.0011292 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 2 2 0.0 0.0 91.06 0.0033765 0.0210606 1.9269867 0.0018782 0.0005731 0.0019482 0.0009577 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 2 2 0.0 0.0 91.96 0.0033094 0.0189019 1.8644659 -0.0027617 0.0035743 0.0021257 0.0046409 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 2 2 0.0 0.0 92.84 0.0030658 0.0192699 1.8682747 0.0019847 0.0007979 0.0017151 0.001346 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 2 2 0.0 0.0 93.55 0.0030661 0.0195203 1.7788493 0.0005274 0.0010714 0.0015735 0.0011882 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 2 2 0.0 0.0 94.14 0.0029747 0.0186078 1.8808303 0.0030876 0.0005417 0.001575 0.0009183 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 2 2 0.0 0.0 94.77 0.0033008 0.0197415 1.9004202 -0.0018973 0.0016429 0.0016551 0.0015902 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 2 2 0.0 0.0 95.3 0.0033202 0.0192376 1.9329816 1.28e-05 0.0014322 0.0016786 0.0015765 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 2 2 0.0 0.0 95.79 0.0031885 0.0181246 1.8261001 -0.0039736 0.0019957 0.0015782 0.0011683 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 2 2 0.0 0.0 96.46 0.0076656 0.0200282 1.975804 -0.0923014 0.1391051 0.0107795 0.0767592 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 2 2 0.0 0.0 97.27 0.0040776 0.0174813 1.7888452 0.0041503 0.0243638 0.0026812 0.0083369 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 2 2 0.0 0.0 97.67 0.0031017 0.0164438 1.6724305 -0.0121426 0.0065935 0.0017291 0.0017025 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 3 3 0.0 0.0 98.07 0.0027301 0.0162588 1.6569202 0.0013514 0.001961 0.0017431 0.0008905 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 3 3 0.0 0.0 98.39 0.0027089 0.0170284 1.5993896 0.0065711 0.0006729 0.0015136 0.0008194 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 4 4 0.0 0.0 98.65 0.0031199 0.0172165 1.5847086 -0.0035015 0.0076093 0.0015878 0.0022779 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 4 4 0.0 0.0 98.81 0.0039275 0.0164813 1.6105467 -0.0044114 0.0036212 0.0020071 0.0029636 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 4 4 0.0 0.0 99.11 0.0033649 0.0169862 1.6103486 -0.0029434 0.010899 0.0021327 0.0051172 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 4 4 0.0 0.0 99.04 0.003006 0.0175476 1.6546327 0.0056424 0.0011503 0.0014153 0.0010465 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 4 4 0.0 0.0 98.86 0.0024579 0.0155309 1.7568115 0.0009044 0.0003763 0.0017074 0.0007268 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 4 4 0.0 0.0 98.51 0.002428 0.0161615 1.7974163 0.007281 0.0002957 0.0012189 0.0006778 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 5 5 0.0 0.0 98.29 0.0026006 0.0159369 1.8789092 0.0057146 0.0002591 0.0012769 0.0007178 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 5 5 0.0 0.0 98.08 0.0026235 0.0164137 1.8547348 0.0040993 0.0002398 0.0012096 0.0006882 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 6 6 0.0 0.0 97.8 0.0025623 0.0156331 1.8593059 -0.0021492 0.0002432 0.001579 0.0008508 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 6 6 0.0 0.0 97.51 0.0022124 0.0159968 1.9073065 0.0031066 0.0002171 0.0011741 0.0006948 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 6 6 0.0 0.0 97.2 0.0023611 0.0163699 1.9098173 0.0025281 0.0002156 0.0012162 0.0007087 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 7 7 0.0 0.0 97.08 0.0024417 0.0165191 1.9591063 -0.0061035 0.0002061 0.0016776 0.0007207 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 7 7 0.0 0.0 97.07 0.0022362 0.0157777 2.0126324 0.0013276 0.0002103 0.0012356 0.000705 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 7 7 0.0 0.0 97.34 0.0023921 0.0154762 1.9423969 0.0015658 0.0001938 0.001202 0.000732 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 7 7 0.0 0.0 97.42 0.0022531 0.0155868 1.9663472 0.0011103 0.0001701 0.0011377 0.0007232 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 8 8 0.0 0.0 97.61 0.0023705 0.0154217 1.9443193 0.0001894 0.0001823 0.0011656 0.0007567 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7040 8 8 0.0 0.0 97.98 0.0023821 0.014791 2.0482913 -0.0007748 0.0001643 0.0011634 0.0006825 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7168 8 8 0.0 0.0 98.24 0.0024145 0.0145726 2.1354099 -0.0007507 0.0001482 0.0011354 0.0007054 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7296 8 8 0.0 0.0 98.53 0.0024231 0.0151013 2.0738414 -0.0033725 0.0001843 0.0012721 0.0008314 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
