3584 7 7 0.0 0.0 22.69 0.0051298 -0.3495846 81.2730629 0.7784525 0.2843291  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 7 7 0.0 0.0 22.83 0.0046278 -0.3713064 102.6745017 0.7958358 0.269087  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 7 7 0.0 0.0 22.93 0.0045467 -1.3774793 80.4182888 0.8179266 0.2517924  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 7 7 0.0 0.0 23.05 0.0044889 -0.8845458 85.2871166 0.7995306 0.2589785  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 8 8 0.0 0.0 23.14 0.0040344 -1.2185375 68.9803466 0.7746556 0.2699178  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4224 8 8 0.0 0.0 23.24 0.0043839 -1.3920095 77.878496 0.7859146 0.2557364  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4352 8 8 0.0 0.0 23.32 0.0045481 -0.7794125 81.9178577 0.7950426 0.2435689  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 8 8 0.0 0.0 23.38 0.0044745 -1.2329713 77.1456356 0.8025704 0.2329487  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 8 8 0.0 0.0 23.43 0.0042558 -0.8243375 75.7028713 0.7801997 0.2375726  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 8 8 0.0 0.0 23.5 0.0041343 -0.1973362 86.7515517 0.7826172 0.2311215  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 8 8 0.0 0.0 23.57 0.0037639 -0.226663 84.4174297 0.7748026 0.2253909  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 8 8 0.0 0.0 23.62 0.0036957 -0.1962172 82.284182 0.7561031 0.2178448  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 9 9 0.0 0.0 23.66 0.003645 0.0245471 81.3770858 0.7386723 0.2248292  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 10 10 0.0 0.0 23.71 0.003308 0.6206322 85.5997396 0.7316254 0.2224593  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 10 10 0.0 0.0 23.77 0.0033772 0.6507154 85.3128402 0.7071442 0.2311132  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 10 10 0.0 0.0 23.78 0.0033579 -0.0827606 63.9680582 0.7369459 0.2283166  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5632 10 10 0.0 0.0 23.86 0.0032006 0.8503468 79.3192409 0.7039812 0.2313042  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 10 10 0.0 0.0 23.87 0.0033246 1.3968912 92.9609097 0.7092047 0.2361738  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 10 10 0.0 0.0 23.9 0.0034485 0.7502122 91.7029072 0.7218093 0.2320527  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 10 10 0.0 0.0 23.9 0.0032125 0.5159881 72.6771272 0.6850001 0.2334393  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 10 10 0.0 0.0 23.93 0.0031613 0.7493752 75.1261937 0.6671332 0.2330569  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 12 12 0.0 0.0 23.98 0.0030997 0.9190787 85.9387943 0.6641487 0.2284688  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 12 12 0.0 0.0 24.01 0.0027555 0.0460248 57.2131516 0.6468408 0.2306031  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 12 12 0.0 0.0 24.03 0.0025828 0.6120853 55.4713567 0.6045932 0.224685  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 13 13 0.0 0.0 24.02 0.0024888 0.4305839 50.1370254 0.5916933 0.2227016  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 13 13 0.0 0.0 24.04 0.0024953 0.5882418 58.1707037 0.5894807 0.2209875  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 14 14 0.0 0.0 24.03 0.0024205 0.698923 59.9093647 0.5711581 0.2197273  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 14 14 0.0 0.0 24.05 0.002291 0.8792453 55.0614826 0.5558575 0.2159335  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 14 14 0.0 0.0 24.08 0.0021629 0.8016917 50.3644257 0.5312827 0.2128067  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 14 14 0.0 0.0 24.09 0.002214 0.6518035 53.116381 0.5343676 0.2152797  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
