128 0 0 0.0 0.0 6.14 0.0349157 0.0627495 0.9229738 -0.9369885 0.0869546 0.0637283 0.0056385 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 11.61 0.0191325 0.0448834 1.0905324 -0.047153 0.0173925 0.0127274 0.0040707 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 16.74 0.0123837 0.0360144 1.1676728 0.0931677 0.016182 0.004768 0.0018859 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 21.98 0.0090476 0.0322237 1.2398263 0.0923237 0.0093034 0.0030083 0.0014209 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 27.29 0.007502 0.0287133 1.3815421 0.0872137 0.0069251 0.002324 0.0011841 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 32.48 0.0061552 0.0296673 1.4995085 0.0806492 0.005438 0.0018579 0.0009117 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 38.23 0.0054669 0.0248771 1.57531 0.0706273 0.0040105 0.0016047 0.0008607 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 44.04 0.0048722 0.024984 1.6336718 0.0587584 0.0027235 0.0013407 0.0006953 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 49.54 0.0042831 0.0240648 1.7625582 0.0511228 0.0019081 0.0012256 0.0006709 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 54.76 0.0040459 0.0250945 1.7654927 0.0431224 0.0016044 0.0011029 0.0007674 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 59.79 0.0038786 0.0250618 1.8307087 0.0342257 0.0010928 0.0010539 0.0007694 0.0 0.0 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
