128 0 0 0.0 0.0 102.2 0.0920926 1.2320239 0.5341594 -2.2950885 0.58569 0.1542665 0.0028301 0.0 51.0916111 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 98.81 0.070433 1.2124775 0.4655294 -0.1124259 0.0932698 0.0292675 0.0079743 0.0 79.5653029 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 94.7 0.0434112 1.1512688 0.5107083 0.1145759 0.0715415 0.0160064 0.0104753 0.0 90.4868239 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 91.97 0.0331415 1.1146685 0.5523295 0.1858267 0.0513911 0.0096118 0.0068405 0.0 93.811849 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 92.16 0.026784 1.0764152 0.6236685 0.1951055 0.0469857 0.0084207 0.0057893 0.0 94.9645936 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 94.81 0.0207043 1.0576925 0.6650838 0.188213 0.0341787 0.0063482 0.0046 0.0 95.3025551 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 99.53 0.0166279 1.0502411 0.7123706 0.1624376 0.0218997 0.0047765 0.0033943 0.0 96.1984442 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 102.85 0.0145688 1.0328267 0.737154 0.1407922 0.0169982 0.0040959 0.002879 0.0 96.6023735 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 104.62 0.0132831 1.0164098 0.7831812 0.1160029 0.01176 0.003655 0.0024332 0.0 96.9401055 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 105.53 0.0124718 1.0103183 0.8364355 0.100398 0.0099483 0.0034165 0.0021021 0.0 97.2410614 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 105.82 0.0117259 1.001226 0.8697629 0.0896549 0.0074588 0.0031052 0.0018939 0.0 97.3188518 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 107.33 0.0107738 1.0040772 0.8651914 0.0778084 0.0060782 0.0029053 0.0018325 0.0 96.4528072 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 105.91 0.0103413 0.9949378 0.8740461 0.0709677 0.0054686 0.0025805 0.0015416 0.0 97.4435482 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 105.78 0.009993 1.0028947 0.9119247 0.0579915 0.0037126 0.0024275 0.001382 0.0 97.5826955 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
